Admin,Year,Month,Months in Office,Significant,Economically Significant,Other Significant
Reagan,1981,Jan,0,,,
Reagan,1981,Feb,1,,0,
Reagan,1981,Mar,2,,0,
Reagan,1981,Apr,3,,0,
Reagan,1981,May,4,,0,
Reagan,1981,Jun,5,,0,
Reagan,1981,Jul,6,,0,
Reagan,1981,Aug,7,,1,
Reagan,1981,Sep,8,,0,
Reagan,1981,Oct,9,,0,
Reagan,1981,Nov,10,,0,
Reagan,1981,Dec,11,,0,
Reagan,1982,Jan,12,,0,
Reagan,1982,Feb,13,,0,
Reagan,1982,Mar,14,,0,
Reagan,1982,Apr,15,,0,
Reagan,1982,May,16,,3,
Reagan,1982,Jun,17,,0,
Reagan,1982,Jul,18,,3,
Reagan,1982,Aug,19,,1,
Reagan,1982,Sep,20,,0,
Reagan,1982,Oct,21,,1,
Reagan,1982,Nov,22,,3,
Reagan,1982,Dec,23,,0,
Reagan,1983,Jan,24,,1,
Reagan,1983,Feb,25,,0,
Reagan,1983,Mar,26,,4,
Reagan,1983,Apr,27,,2,
Reagan,1983,May,28,,3,
Reagan,1983,Jun,29,,0,
Reagan,1983,Jul,30,,1,
Reagan,1983,Aug,31,,3,
Reagan,1983,Sep,32,,5,
Reagan,1983,Oct,33,,3,
Reagan,1983,Nov,34,,1,
Reagan,1983,Dec,35,,3,
Reagan,1984,Jan,36,,2,
Reagan,1984,Feb,37,,1,
Reagan,1984,Mar,38,,0,
Reagan,1984,Apr,39,,1,
Reagan,1984,May,40,,1,
Reagan,1984,Jun,41,,2,
Reagan,1984,Jul,42,,0,
Reagan,1984,Aug,43,,1,
Reagan,1984,Sep,44,,1,
Reagan,1984,Oct,45,,3,
Reagan,1984,Nov,46,,2,
Reagan,1984,Dec,47,,2,
Reagan,1985,Jan,48,,4,
Reagan,1985,Feb,49,,1,
Reagan,1985,Mar,50,,6,
Reagan,1985,Apr,51,,1,
Reagan,1985,May,52,,2,
Reagan,1985,Jun,53,,1,
Reagan,1985,Jul,54,,3,
Reagan,1985,Aug,55,,0,
Reagan,1985,Sep,56,,3,
Reagan,1985,Oct,57,,3,
Reagan,1985,Nov,58,,1,
Reagan,1985,Dec,59,,2,
Reagan,1986,Jan,60,,0,
Reagan,1986,Feb,61,,1,
Reagan,1986,Mar,62,,2,
Reagan,1986,Apr,63,,2,
Reagan,1986,May,64,,4,
Reagan,1986,Jun,65,,3,
Reagan,1986,Jul,66,,1,
Reagan,1986,Aug,67,,2,
Reagan,1986,Sep,68,,0,
Reagan,1986,Oct,69,,5,
Reagan,1986,Nov,70,,1,
Reagan,1986,Dec,71,,1,
Reagan,1987,Jan,72,,2,
Reagan,1987,Feb,73,,2,
Reagan,1987,Mar,74,,1,
Reagan,1987,Apr,75,,0,
Reagan,1987,May,76,,1,
Reagan,1987,Jun,77,,2,
Reagan,1987,Jul,78,,4,
Reagan,1987,Aug,79,,1,
Reagan,1987,Sep,80,,2,
Reagan,1987,Oct,81,,4,
Reagan,1987,Nov,82,,3,
Reagan,1987,Dec,83,,4,
Reagan,1988,Jan,84,,1,
Reagan,1988,Feb,85,,3,
Reagan,1988,Mar,86,,1,
Reagan,1988,Apr,87,,2,
Reagan,1988,May,88,,2,
Reagan,1988,Jun,89,,3,
Reagan,1988,Jul,90,,1,
Reagan,1988,Aug,91,,4,
Reagan,1988,Sep,92,,5,
Reagan,1988,Oct,93,,2,
Reagan,1988,Nov,94,,2,
Reagan,1988,Dec,95,,0,
Reagan,1989,Jan,96,,2,
Bush 41,1989,Jan,0,,2,
Bush 41,1989,Feb,1,,2,
Bush 41,1989,Mar,2,,2,
Bush 41,1989,Apr,3,,1,
Bush 41,1989,May,4,,1,
