Year,"Total Volumes
(Exc CFR Index)",Total Pages
1950,47,9745
1951,46,15932
1952,47,19232
1953,48,18464
1954,48,16502
1955,50,17989
1956,56,21651
1957,57,19589
1958,57,20643
1959,60,21760
1960,68,22877
1961,72,25242
1962,80,22863
1963,82,25828
1964,87,31584
1965,95,34783
1966,104,43118
1967,110,50375
1968,112,53513
1969,114,52863
1970,114,54834
1971,116,56720
1972,143,60632
1973,123,64872
1974,133,67860
1975,133,71224
1976,139,72740
1977,141,84729
1978,142,94151
1979,148,98032
1980,164,102195
1981,180,107109
1982,177,104938
1983,178,105654
1984,186,111830
1985,175,105935
1986,175,109509
1987,185,114337
1988,192,117480
1989,196,122090
1990,199,126893
1991,199,125331
1992,199,128344
1993,202,132228
1994,202,134196
1995,205,138186
1996,204,132112
1997,200,131060
1998,201,135127
1999,202,134932
2000,202,138049
2001,206,141281
2002,207,145099
2003,214,144187
2004,217,147639
2005,221,151973
2006,222,154107
2007,222,156010
2008,222,157974
2009,225,163333
2010,226,165494
2011,230,169301
2012,235,174545
2013,235,175496
2014,236,175274
2015,237,178351
2016,242,185131
2017,242,186468
2018,242,185544
2019,242,186067
2020,242,186644
2021,245,188343
2022,245,188148
2023,245,190627
2024,245,194395
* Total Pages for 1950 through 1969 include revisions and pocket part supplements.,,
"** Total Pages for 1972 do not include the second revisions of titles 42 through 50, done in October 1972.",,
*** Includes two revisions each (January 1 and October 1) for titles 42 through 50.,,
**** Post-1974 statistics include printed pages plus unrevised volumes.,,
Data source: GovInfo (https://www.govinfo.gov/app/collection/cfr) for years 2024-2025; Federal Register Statistics (https://www.federalregister.gov/reader-aids/federal-register-statistics) for all the prior years.,,
