Presidential Year,Economically Significant Rules Published by DOI
1981,0
1982,0
1983,1
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,1
1991,1
1992,2
1993,2
1994,1
1995,2
1996,2
1997,2
1998,2
1999,2
2000,5
2001,2
2002,2
2003,3
2004,3
2005,2
2006,2
2007,2
2008,5
2009,3
2010,3
2011,2
2012,3
2013,2
2014,2
2015,2
2016,4
2017,1
2018,2
2019,2
2020,4
2021,5
2022,0
"Compiled by the George Washington University Regulatory Studies Center, www.regulatorystudies.gwu.edu",
Sources: Office of the Federal Register (federalregister.gov) for the years starting 2021; Office of Information and Regulatory Affairs (OIRA) (reginfo.gov) for all the prior years.,
"Updated: March 26, 2023",
