Presidential Year,Presidential Party,Economically Significant Rules Published by DOJ
1981,Republican,0
1982,Republican,0
1983,Republican,0
1984,Republican,0
1985,Republican,0
1986,Republican,0
1987,Republican,1
1988,Republican,0
1989,Republican,0
1990,Republican,0
1991,Republican,2
1992,Republican,0
1993,Democratic,0
1994,Democratic,1
1995,Democratic,2
1996,Democratic,0
1997,Democratic,1
1998,Democratic,1
1999,Democratic,0
2000,Democratic,0
2001,Republican,1
2002,Republican,3
2003,Republican,0
2004,Republican,1
2005,Republican,1
2006,Republican,0
2007,Republican,0
2008,Republican,0
2009,Democratic,0
2010,Democratic,3
2011,Democratic,1
2012,Democratic,1
2013,Democratic,0
2014,Democratic,0
2015,Democratic,0
2016,Democratic,1
2017,Republican,1
2018,Republican,1
2019,Republican,0
2020,Republican,1
2021,Democratic,0
2022,Democratic,2
2023,Democratic,1
