Presidential Year,Economically Significant Rules Published by DOL
1981,1
1982,0
1983,3
1984,0
1985,1
1986,1
1987,3
1988,4
1989,4
1990,4
1991,3
1992,5
1993,2
1994,2
1995,1
1996,2
1997,3
1998,1
1999,0
2000,7
2001,1
2002,2
2003,0
2004,2
2005,1
2006,3
2007,3
2008,4
2009,1
2010,8
2011,1
2012,3
2013,4
2014,3
2015,3
2016,9
2017,1
2018,1
2019,3
2020,10
2021,9
2022,4
"Compiled by the George Washington University Regulatory Studies Center, www.regulatorystudies.gwu.edu",
Sources: Office of the Federal Register (federalregister.gov) for the years starting 2021; Office of Information and Regulatory Affairs (OIRA) (reginfo.gov) for all the prior years.,
"Updated: March 24, 2023",
