Presidential Year,Economically Significant Rules Published by DOT
1981,0
1982,2
1983,3
1984,4
1985,4
1986,3
1987,2
1988,5
1989,2
1990,6
1991,8
1992,3
1993,3
1994,10
1995,5
1996,1
1997,2
1998,4
1999,5
2000,4
2001,5
2002,5
2003,5
2004,4
2005,3
2006,2
2007,3
2008,8
2009,8
2010,6
2011,2
2012,5
2013,3
2014,4
2015,3
2016,8
2017,0
2018,2
2019,1
2020,3
2021,0
2022,2
"Compiled by the George Washington University Regulatory Studies Center, www.regulatorystudies.gwu.edu",
Sources: Office of the Federal Register (federalregister.gov) for the years starting 2021; Office of Information and Regulatory Affairs (OIRA) (reginfo.gov) for all the prior years.,
"Updated: March 26, 2023",
