Presidential Year,Economically Significant Rules Published by EPA
1981,0
1982,4
1983,2
1984,0
1985,7
1986,2
1987,7
1988,6
1989,2
1990,11
1991,5
1992,7
1993,9
1994,17
1995,5
1996,11
1997,7
1998,9
1999,6
2000,9
2001,0
2002,1
2003,2
2004,7
2005,5
2006,4
2007,2
2008,8
2009,3
2010,10
2011,7
2012,7
2013,0
2014,2
2015,10
2016,8
2017,1
2018,1
2019,3
2020,8
2021,3
2022,3
"Compiled by the George Washington University Regulatory Studies Center, www.regulatorystudies.gwu.edu",
Sources: Office of the Federal Register (federalregister.gov) for the years starting 2021; Office of Information and Regulatory Affairs (OIRA) (reginfo.gov) for all the prior years.,
"Updated: March 24, 2023",
