Year,Presidential Documents,Rules,Proposed Rules,Notices,Unknowns,Corrections*,Skips/Blanks,TOTAL**,ACTUAL***
1936,,,,,,,," 2,620 ",
1937,,,,,,,," 3,450 ",
1938,,,,,,,," 3,194 ",
1939,,,,,,,," 5,007 ",
1940,,,,,,,," 5,307 ",
1941,,,,,,,," 6,877 ",
1942,,,,,,,," 11,134 ",
1943,,,,,,,," 17,553 ",
1944,,,,,,,," 15,194 ",
1945,,,,,,,," 15,508 ",
1946,,,,,,,," 14,736 ",
1947,,,,,,,," 8,902 ",
1948,,,,,,,," 9,608 ",
1949,,,,,,,," 7,952 ",
1950,,,,,,,," 9,562 ",
1951,,,,,,,," 13,175 ",
1952,,,,,,,," 11,896 ",
1953,,,,,,,," 8,912 ",
1954,,,,,,,," 9,910 ",
1955,,,,,,,," 10,196 ",
1956,,,,,,,," 10,528 ",
1957,,,,,,,," 11,156 ",
1958,,,,,,,," 10,579 ",
1959,,,,,,,," 11,116 ",
1960,,,,,,,," 14,479 ",
1961,,,,,,,," 12,792 ",
1962,,,,,,,," 13,226 ",
1963,,,,,,,," 14,842 ",
1964,,,,,,,," 19,304 ",
1965,,,,,,,," 17,206 ",
1966,,,,,,,," 16,850 ",
1967,,,,,,,," 21,088 ",
1968,,,,,,,," 20,072 ",
1969,,,,,,,," 20,466 ",
1970,,,,,,,," 20,036 ",
1971,,,,,,,," 25,447 ",
1972,,,,,,,," 28,924 ",
1973,,,,,,,," 35,592 ",
1974,,,,,,,," 45,422 ",
1975,,,,,,,," 60,221 ",
1976, 549 ," 12,589 "," 9,325 "," 28,042 ",,," 6,567 "," 57,072 ","                   50,505 "
1977, 473 ," 14,572 "," 9,620 "," 33,122 ",,," 7,816 "," 65,603 ","                   57,787 "
1978, 624 ," 15,452 "," 11,885 "," 27,735 ",,," 5,565 "," 61,261 ","                   55,696 "
1979, 729 ," 19,366 "," 18,091 "," 33,005 ",,," 6,307 "," 77,498 ","                   71,191 "
1980, 604 ," 21,092 "," 16,276 "," 35,286 ",,," 13,754 "," 87,012 ","                   73,258 "
1981, 306 ," 15,300 "," 10,433 "," 31,697 ",,," 5,818 "," 63,554 ","                   57,736 "
1982, 320 ," 15,222 "," 12,130 "," 25,432 ",,," 5,390 "," 58,494 ","                   53,104 "
1983, 323 ," 16,196 "," 12,772 "," 23,727 ",,," 4,686 "," 57,704 ","                   53,018 "
1984, 611 ," 15,473 "," 11,972 "," 20,587 ",,," 2,355 "," 50,998 ","                   48,643 "
1985, 528 ," 15,460 "," 13,772 "," 20,742 ",,," 2,978 "," 53,480 ","                   50,502 "
