Presidential Year,Presidential Party,Economically Significant Rules Published by HHS
1981,Republican,0.0
1982,Republican,1.0
1983,Republican,6.0
1984,Republican,1.0
1985,Republican,3.0
1986,Republican,5.0
1987,Republican,2.0
1988,Republican,2.0
1989,Republican,3.0
1990,Republican,3.0
1991,Republican,9.0
1992,Republican,31.0
1993,Democratic,6.0
1994,Democratic,3.0
1995,Democratic,4.0
1996,Democratic,6.0
1997,Democratic,9.0
1998,Democratic,12.0
1999,Democratic,7.0
2000,Democratic,18.0
2001,Republican,8.0
2002,Republican,12.0
2003,Republican,17.0
2004,Republican,15.0
2005,Republican,16.0
2006,Republican,8.0
2007,Republican,15.0
2008,Republican,25.0
2009,Democratic,9.0
2010,Democratic,19.0
2011,Democratic,21.0
2012,Democratic,19.0
2013,Democratic,22.0
2014,Democratic,21.0
2015,Democratic,20.0
2016,Democratic,37.0
2017,Republican,8.0
2018,Republican,16.0
2019,Republican,23.0
2020,Republican,33.0
2021,Democratic,23.0
2022,Democratic,16.0
2023,Democratic,18.0
2024,Democratic,34.0
