Presidential Year,Economically Significant Rules Published by HUD
1981,0
1982,0
1983,2
1984,2
1985,0
1986,2
1987,1
1988,4
1989,0
1990,0
1991,2
1992,3
1993,2
1994,0
1995,1
1996,2
1997,0
1998,0
1999,1
2000,1
2001,0
2002,0
2003,0
2004,1
2005,1
2006,0
2007,0
2008,3
2009,0
2010,0
2011,3
2012,0
2013,0
2014,1
2015,0
2016,3
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
"Compiled by the George Washington University Regulatory Studies Center, www.regulatorystudies.gwu.edu",
Sources: Office of the Federal Register (federalregister.gov) for the years starting 2021; Office of Information and Regulatory Affairs (OIRA) (reginfo.gov) for all the prior years.,
"Updated: March 26, 2023",
