year,consumer_safety_and_health,homeland_security,transportation,workplace,environment_and_energy,finance_and_banking,industry-specific_regulation,general_business
1960,768,1092,316,271,218,301,685,361
1961,854,1156,464,295,331,331,803,405
1962,927,1229,574,353,471,353,787,442
1963,980,1269,628,423,592,374,917,465
1964,1096,1235,673,437,652,382,1006,479
1965,992,1307,719,452,664,390,1246,527
1966,1099,1378,666,493,666,340,1179,540
1967,1219,1349,698,522,789,391,1297,554
1968,1239,1513,849,528,1025,465,1321,572
1969,1200,1679,875,562,1342,420,1378,585
1970,1244,1879,992,644,1389,549,1546,633
1971,1341,2499,1268,760,1613,660,1624,655
1972,1461,2884,1436,969,2228,526,1515,679
1973,2648,3416,1707,1124,2996,640,945,701
1974,2687,3282,1545,1276,2509,742,1133,760
1975,2852,3655,1468,1416,2979,759,1483,775
1976,2883,4364,1421,1547,3448,768,1561,856
1977,3118,4108,1462,1721,3892,970,1407,888
1978,3371,4064,1448,1775,4171,1023,1150,946
1979,3334,4033,1511,1922,4583,1010,1159,942
1980,3374,4281,1482,2016,5166,1056,1310,994
1981,3200,3664,1378,1921,5449,910,1118,932
1982,2868,3452,1068,1732,4859,1133,1117,876
1983,2628,3379,1145,1711,5063,1052,1067,908
1984,2863,3356,1014,1689,5105,1227,967,936
1985,2842,3442,868,1656,5451,1441,931,1002
1986,2689,3610,1003,1622,5622,1948,916,1022
1987,2770,4149,1140,1584,5879,1462,820,1069
1988,2903,4687,1197,1650,6212,1850,871,1121
1989,2998,5227,1173,1668,6617,1892,859,1232
1990,3128,5713,1378,1721,6978,2226,872,1255
1991,3337,6403,1424,1644,7672,1903,905,1333
1992,3563,7023,1520,1749,8184,2071,951,1444
1993,3683,6868,1518,1676,8283,2543,988,1541
1994,3834,6957,1484,1733,8422,2110,988,1645
1995,3886,7110,1404,1692,8676,2730,1056,1682
1996,3907,7552,1644,1575,7839,2354,951,1724
1997,4118,7969,1648,1672,8122,2579,911,1914
1998,4429,9717,1942,1734,7877,2400,952,1950
1999,4544,9862,1919,1792,8541,2406,1001,2171
2000,4850,10463,1984,1898,8723,2615,999,2241
2001,5462,10546,2116,2080,8891,2384,1068,2484
2002,5629,14666,2829,2081,9299,2506,1118,2770
2003,6338,23394,2483,2082,9656,2495,1091,2679
2004,6307,19570,2400,2076,8391,2513,1189,3109
2005,6322,19887,2314,1995,8521,2332,1164,3389
2006,6956,19729,2836,1990,8734,2502,1198,3435
2007,6430,21080,2932,1955,8301,2582,1140,3648
2008,6602,22906,2920,1975,8132,2704,1200,3699
2009,7259,25220,3208,2063,8506,3063,1306,3933
2010,7956,25252,3196,2174,9086,3241,1327,3935
2011,8074,25194,3062,2140,9555,3570,1338,4199
2012,7895,25786,3110,2094,9348,3769,1349,4355
2013,7868,25220,3069,2096,8360,4186,1368,4605
2014,8140,24839,2837,2034,9079,4177,1340,4696
2015,9329,25723,2906,2107,7882,4322,1385,5126
2016,9463,26864,2959,2036,8054,4663,1443,5509
2017,9472,28539,2951,1996,7934,4640,1413,5444
2018,9326,30608,2998,1915,7567,4672,1395,5387
2019,9905,32173,3018,1906,7155,4470,1422,5374
2020,9827,35798,3230,1925,7289,4444,1400,5497
2021,10191,35893,3307,1916,6974,4425,1577,5606
2022,10758,37401,3690,1965,7197,4623,1589,5810
2023,10967,40034,3979,1975,7383,4489,1591,5986
2024,11757,44492,3695,1990,8004,5047,1667,6443
,,,,,,,,
"* Outlays are in millions of 2012 U.S. dollars.					",,,,,,,,
"** The Homeland Security subcategory is a component of the Social Regulation category. TSA, which is reported as a separate category in the main outlays chart, is included as part of the Homeland Security subcategory here.",,,,,,,,
