year,economic_regulation,social_regulation,tsa,social_reg_adjusted,total
1960,1348,2666,,2666,4014
1961,1539,3100,,3100,4639
1962,1582,3554,,3554,5136
1963,1756,3893,,3893,5649
1964,1867,4094,,4094,5961
1965,2163,4134,,4134,6297
1966,2059,4303,,4303,6361
1967,2243,4576,,4576,6819
1968,2358,5154,,5154,7513
1969,2383,5659,,5659,8043
1970,2728,6148,,6148,8876
1971,2939,7481,,7481,10419
1972,2720,8978,,8978,11699
1973,2286,11892,,11892,14178
1974,2635,11299,,11299,13933
1975,3018,12369,,12369,15387
1976,3186,13663,,13663,16848
1977,3266,14301,,14301,17567
1978,3119,14828,,14828,17947
1979,3111,15383,,15383,18493
1980,3360,16318,,16318,19678
1981,2960,15612,,15612,18572
1982,3127,13979,,13979,17106
1983,3028,13927,,13927,16954
1984,3131,14026,,14026,17157
1985,3374,14260,,14260,17634
1986,3886,14547,,14547,18433
1987,3352,15523,,15523,18874
1988,3842,16650,,16650,20492
1989,3983,17682,,17682,21665
1990,4354,18917,,18917,23271
1991,4141,20481,,20481,24622
1992,4466,22039,,22039,26505
1993,5071,22027,,22027,27099
1994,4743,22430,,22430,27173
1995,5468,22768,,22768,28235
1996,5030,22516,,22516,27546
1997,5403,23530,,23530,28933
1998,5302,25699,,25699,31001
1999,5578,26658,,26658,32236
2000,5855,27918,,27918,33774
2001,5936,29096,,29096,35032
2002,6394,34504,1513,32991,40899
2003,6265,43953,11987,31966,50218
2004,6810,38744,5382,33362,45555
2005,6885,39037,5546,33491,45922
2006,7135,40245,4942,35303,47380
2007,7370,40699,5083,35616,48070
2008,7604,42536,5297,37239,50139
2009,8301,46257,5572,40685,54558
2010,8503,47664,5258,42406,56167
2011,9107,48025,5271,42754,57133
2012,9473,48233,5279,42954,57706
2013,10158,46614,5279,41335,56772
2014,10213,46929,5056,41873,57141
2015,10833,47947,5878,42069,58780
2016,11615,49375,5658,43717,60990
2017,11496,50893,6308,44585,62389
2018,11454,52414,6759,45655,63869
2019,11265,54157,7015,47142,65423
2020,11341,58069,6865,51204,69410
2021,11608,58281,6752,51529,69889
2022,12021,61011,7078,53933,73033
2023,12066,64338,7440,56898,76404
2024,13156,69937,8666,61271,83094
,,,,,
* Outlays are in millions of 2012 U.S. dollars.,,,,,
