year,social_regulation,tsa,economic_regulation,total,social_reg_adjusted,
1960,"38,819",,"18,290","57,109","38,819",
1961,"42,669",,"18,984","61,653","42,669",
1962,"46,459",,"20,492","66,951","46,459",
1963,"49,157",,"21,649","70,806","49,157",
1964,"50,008",,"21,679","71,687","50,008",
1965,"48,925",,"25,300","74,225","48,925",
1966,"51,231",,"24,609","75,840","51,231",
1967,"51,726",,"26,179","77,905","51,726",
1968,"54,460",,"27,098","81,558","54,460",
1969,"54,208",,"27,761","81,969","54,208",
1970,"57,685",,"32,590","90,275","57,685",
1971,"67,546",,"31,133","98,679","67,546",
1972,"87,601",,"30,024","117,625","87,601",
1973,"93,549",,"23,860","117,409","93,549",
1974,"92,630",,"25,207","117,837","92,630",
1975,"92,984",,"29,198","122,182","92,984",
1976,"98,435",,"30,846","129,281","98,435",
1977,"109,744",,"28,353","138,097","109,744",
1978,"111,858",,"29,462","141,320","111,858",
1979,"120,195",,"30,025","150,220","120,195",
1980,"115,047",,"31,361","146,408","115,047",
1981,"115,528",,"29,347","144,875","115,528",
1982,"103,781",,"29,177","132,958","103,781",
1983,"99,997",,"27,551","127,548","99,997",
1984,"99,974",,"27,313","127,287","99,974",
1985,"100,818",,"26,988","127,806","100,818",
1986,"99,961",,"27,587","127,548","99,961",
1987,"103,347",,"27,109","130,456","103,347",
1988,"108,145",,"27,778","135,923","108,145",
1989,"115,568",,"35,885","151,453","115,568",
1990,"119,475",,"33,271","152,746","119,475",
1991,"123,531",,"34,412","157,943","123,531",
1992,"130,815",,"37,089","167,904","130,815",
1993,"135,913",,"38,062","173,975","135,913",
1994,"133,589",,"37,623","171,212","133,589",
1995,"136,147",,"37,756","173,903","136,147",
1996,"137,135",,"33,714","170,849","137,135",
1997,"133,356",,"32,409","165,765","133,356",
1998,"139,977",,"31,941","171,918","139,977",
1999,"139,978",,"32,471","172,449","139,978",
2000,"143,232",,"32,646","175,878","143,232",
2001,"140,704",,"32,354","173,057","140,704",
2002,"152,762","3,434","32,524","185,286","149,328",
2003,"210,490","57,324","32,077","242,567","153,166",
2004,"202,372","46,413","32,652","235,024","155,959",
2005,"203,589","50,725","31,842","235,431","152,864",
2006,"201,646","49,469","32,068","233,714","152,177",
2007,"204,601","49,999","32,953","237,553","154,602",
2008,"215,367","52,692","33,969","249,336","162,675",
2009,"225,972","53,421","35,983","261,955","172,551",
2010,"233,564","52,644","37,321","270,885","180,920",
2011,"237,110","55,000","39,455","276,565","182,110",
2012,"237,768","56,317","40,327","278,095","181,451",
2013,"232,731","55,658","41,252","273,983","177,073",
2014,"234,214","53,511","42,350","276,564","180,703",
2015,"225,967","51,712","42,853","268,820","174,255",
2016,"231,693","54,901","43,324","275,017","176,792",
2017,"232,337","53,084","43,007","275,344","179,253",
2018,"231,201","54,651","42,335","273,536","176,550",
2019,"233,663","55,607","41,745","275,408","178,056",
2020,"225,975","56,425","39,935","265,910","169,550",
2021,"232,213","56,556","40,880","273,093","175,657",
2022,"231,487","55,181","41,382","272,869","176,306",
2023,"234,366","56,193","38,550","272,916","178,173",
2024,"238,456","58,639","39,388","277,844","179,817",
