agency,acronym,presidential_year,final_rules,proposed_rules
energy-department,DOE,1995,50,51
energy-department,DOE,1996,41,48
energy-department,DOE,1997,42,39
energy-department,DOE,1998,33,46
energy-department,DOE,1999,32,39
energy-department,DOE,2000,63,29
energy-department,DOE,2001,36,36
energy-department,DOE,2002,31,45
energy-department,DOE,2003,37,15
energy-department,DOE,2004,34,21
energy-department,DOE,2005,42,32
energy-department,DOE,2006,62,52
energy-department,DOE,2007,53,40
energy-department,DOE,2008,42,52
energy-department,DOE,2009,58,42
energy-department,DOE,2010,52,86
energy-department,DOE,2011,52,92
energy-department,DOE,2012,46,77
energy-department,DOE,2013,49,99
energy-department,DOE,2014,50,114
energy-department,DOE,2015,61,115
energy-department,DOE,2016,75,92
energy-department,DOE,2017,42,33
energy-department,DOE,2018,29,38
energy-department,DOE,2019,38,75
energy-department,DOE,2020,44,79
energy-department,DOE,2021,48,105
energy-department,DOE,2022,49,108
energy-department,DOE,2023,62,60
environmental-protection-agency,EPA,1995,674,573
environmental-protection-agency,EPA,1996,679,568
environmental-protection-agency,EPA,1997,615,480
environmental-protection-agency,EPA,1998,626,468
environmental-protection-agency,EPA,1999,659,554
environmental-protection-agency,EPA,2000,563,444
environmental-protection-agency,EPA,2001,686,524
environmental-protection-agency,EPA,2002,622,471
environmental-protection-agency,EPA,2003,549,378
environmental-protection-agency,EPA,2004,495,344
environmental-protection-agency,EPA,2005,522,407
environmental-protection-agency,EPA,2006,491,348
environmental-protection-agency,EPA,2007,471,353
environmental-protection-agency,EPA,2008,469,300
environmental-protection-agency,EPA,2009,444,303
environmental-protection-agency,EPA,2010,460,392
environmental-protection-agency,EPA,2011,516,466
environmental-protection-agency,EPA,2012,624,470
environmental-protection-agency,EPA,2013,490,397
environmental-protection-agency,EPA,2014,501,442
environmental-protection-agency,EPA,2015,573,457
environmental-protection-agency,EPA,2016,536,425
environmental-protection-agency,EPA,2017,564,406
environmental-protection-agency,EPA,2018,473,392
environmental-protection-agency,EPA,2019,491,466
environmental-protection-agency,EPA,2020,446,372
environmental-protection-agency,EPA,2021,421,352
environmental-protection-agency,EPA,2022,368,330
environmental-protection-agency,EPA,2023,320,260
transportation-department,DOT,1995,993,732
transportation-department,DOT,1996,1194,796
transportation-department,DOT,1997,1184,724
transportation-department,DOT,1998,1653,942
transportation-department,DOT,1999,1317,886
transportation-department,DOT,2000,1284,701
transportation-department,DOT,2001,1267,703
transportation-department,DOT,2002,1239,636
transportation-department,DOT,2003,948,604
transportation-department,DOT,2004,1018,658
transportation-department,DOT,2005,948,651
transportation-department,DOT,2006,815,600
transportation-department,DOT,2007,793,605
transportation-department,DOT,2008,834,532
transportation-department,DOT,2009,753,498
transportation-department,DOT,2010,801,637
transportation-department,DOT,2011,761,591
transportation-department,DOT,2012,749,627
transportation-department,DOT,2013,803,621
transportation-department,DOT,2014,697,489
transportation-department,DOT,2015,626,488
transportation-department,DOT,2016,756,551
transportation-department,DOT,2017,754,481
transportation-department,DOT,2018,700,476
transportation-department,DOT,2019,573,480
transportation-department,DOT,2020,711,530
transportation-department,DOT,2021,825,660
transportation-department,DOT,2022,823,613
transportation-department,DOT,2023,700,536
