,,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Months in Office,Reagan,Bush 41,Clinton,Bush 43,Obama,Trump,Biden,,,,,,,,,,,,,,,,,,,,
Jan,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Feb,1,0,2,6,1,2,0,6,,,,,,,,,,,,,,,,,,,,
Mar,2,0,4,13,6,6,0,10,,,,,,,,,,,,,,,,,,,,
Apr,3,0,5,15,9,9,2,12,,,,,,,,,,,,,,,,,,,,
May,4,0,6,18,14,11,4,22,,,,,,,,,,,,,,,,,,,,
Jun,5,0,9,20,16,13,4,24,,,,,,,,,,,,,,,,,,,,
Jul,6,0,11,24,18,20,6,32,,,,,,,,,,,,,,,,,,,,
Aug,7,1,13,27,22,25,9,42,,,,,,,,,,,,,,,,,,,,
Sep,8,1,18,30,25,27,9,45,,,,,,,,,,,,,,,,,,,,
Oct,9,1,20,33,28,31,10,51,,,,,,,,,,,,,,,,,,,,
Nov,10,1,22,35,31,40,17,61,,,,,,,,,,,,,,,,,,,,
Dec,11,1,24,40,34,46,19,66,,,,,,,,,,,,,,,,,,,,
Jan,12,1,26,45,36,52,22,69,,,,,,,,,,,,,,,,,,,,
Feb,13,1,26,56,38,54,22,71,,,,,,,,,,,,,,,,,,,,
Mar,14,1,35,63,42,61,23,73,,,,,,,,,,,,,,,,,,,,
Apr,15,1,37,69,45,69,26,76,,,,,,,,,,,,,,,,,,,,
May,16,4,37,75,50,77,30,84,,,,,,,,,,,,,,,,,,,,
Jun,17,4,41,82,54,84,32,84,,,,,,,,,,,,,,,,,,,,
Jul,18,7,43,84,55,92,36,88,,,,,,,,,,,,,,,,,,,,
Aug,19,8,46,90,60,99,44,93,,,,,,,,,,,,,,,,,,,,
Sep,20,8,47,93,64,104,45,97,,,,,,,,,,,,,,,,,,,,
Oct,21,9,53,95,68,111,45,103,,,,,,,,,,,,,,,,,,,,
Nov,22,12,56,97,70,116,50,110,,,,,,,,,,,,,,,,,,,,
Dec,23,12,58,99,73,120,57,114,,,,,,,,,,,,,,,,,,,,
Jan,24,13,60,106,75,122,59,118,,,,,,,,,,,,,,,,,,,,
Feb,25,13,64,110,78,126,61,120,,,,,,,,,,,,,,,,,,,,
Mar,26,17,68,116,79,133,62,121,,,,,,,,,,,,,,,,,,,,
Apr,27,19,75,117,82,138,65,124,,,,,,,,,,,,,,,,,,,,
May,28,22,76,119,84,141,70,124,,,,,,,,,,,,,,,,,,,,
Jun,29,22,82,122,88,147,76,128,,,,,,,,,,,,,,,,,,,,
Jul,30,23,89,122,93,149,82,,,,,,,,,,,,,,,,,,,,,
Aug,31,26,95,129,98,155,90,,,,,,,,,,,,,,,,,,,,,
Sep,32,31,101,134,100,162,98,,,,,,,,,,,,,,,,,,,,,
Oct,33,34,103,135,108,163,99,,,,,,,,,,,,,,,,,,,,,
