year,title,title_name,pages,words,words_all,n_volumes,xml_volumes,pdf_volumes,has_pdf_gaps,has_xml_gaps,year_complete,last_scraped_at,word_source
1970,1,General Provisions,,155019,155019,,0,0,False,False,True,,RegData 6.0
1970,4,Accounts,,45562,45562,,0,0,False,False,True,,RegData 6.0
1970,5,Administrative Personnel,,223163,223163,,0,0,False,False,True,,RegData 6.0
1970,7,Agriculture,,4734893,4734893,,0,0,False,False,True,,RegData 6.0
1970,8,Aliens and Nationality,,135808,135808,,0,0,False,False,True,,RegData 6.0
1970,9,Animals and Animal Products,,316170,316170,,0,0,False,False,True,,RegData 6.0
1970,10,Energy,,266687,266687,,0,0,False,False,True,,RegData 6.0
1970,12,Banks and Banking,,727711,727711,,0,0,False,False,True,,RegData 6.0
1970,13,Business Credit and Assistance,,195202,195202,,0,0,False,False,True,,RegData 6.0
1970,14,Aeronautics and Space,,1165601,1165601,,0,0,False,False,True,,RegData 6.0
1970,15,Commerce and Foreign Trade,,307386,307386,,0,0,False,False,True,,RegData 6.0
1970,16,Commercial Practices,,784362,784362,,0,0,False,False,True,,RegData 6.0
1970,17,Commodity and Securities Exchanges,,436302,436302,,0,0,False,False,True,,RegData 6.0
1970,18,Conservation of Power and Water Resources,,608276,608276,,0,0,False,False,True,,RegData 6.0
1970,19,Customs Duties,,418801,418801,,0,0,False,False,True,,RegData 6.0
1970,20,Employees' Benefits,,652948,652948,,0,0,False,False,True,,RegData 6.0
1970,21,Food and Drugs,,1213685,1213685,,0,0,False,False,True,,RegData 6.0
1970,22,Foreign Relations,,271511,271511,,0,0,False,False,True,,RegData 6.0
1970,23,Highways,,25299,25299,,0,0,False,False,True,,RegData 6.0
1970,24,Housing and Urban Development,,357869,357869,,0,0,False,False,True,,RegData 6.0
1970,25,Indians,,308419,308419,,0,0,False,False,True,,RegData 6.0
1970,26,Internal Revenue,,4597538,4597538,,0,0,False,False,True,,RegData 6.0
1970,27,"Alcohol, Tobacco Products and Firearms",,41494,41494,,0,0,False,False,True,,RegData 6.0
1970,28,Judicial Administration,,99913,99913,,0,0,False,False,True,,RegData 6.0
1970,29,Labor,,901007,901007,,0,0,False,False,True,,RegData 6.0
1970,30,Mineral Resources,,274327,274327,,0,0,False,False,True,,RegData 6.0
1970,31,Money and Finance: Treasury,,289782,289782,,0,0,False,False,True,,RegData 6.0
1970,32,National Defense,,3076243,3076243,,0,0,False,False,True,,RegData 6.0
1970,33,Navigation and Navigable Waters,,692472,692472,,0,0,False,False,True,,RegData 6.0
1970,35,Reserved (formerly Panama Canal),,213079,213079,,0,0,False,False,True,,RegData 6.0
1970,36,"Parks, Forests, and Public Property",,183597,183597,,0,0,False,False,True,,RegData 6.0
1970,37,"Patents, Trademarks, and Copyrights",,90949,90949,,0,0,False,False,True,,RegData 6.0
1970,38,"Pensions, Bonuses, and Veterans' Relief",,556788,556788,,0,0,False,False,True,,RegData 6.0
1970,39,Postal Service,,537848,537848,,0,0,False,False,True,,RegData 6.0
1970,41,Public Contracts and Property Management,,2008798,2008798,,0,0,False,False,True,,RegData 6.0
1970,42,Public Health,,264637,264637,,0,0,False,False,True,,RegData 6.0
1970,43,Public Lands: Interior,,643059,643059,,0,0,False,False,True,,RegData 6.0
1970,44,Emergency Management and Assistance,,29587,29587,,0,0,False,False,True,,RegData 6.0
1970,45,Public Welfare,,625674,625674,,0,0,False,False,True,,RegData 6.0
1970,46,Shipping,,2044898,2044898,,0,0,False,False,True,,RegData 6.0
1970,47,Telecommunication,,1176494,1176494,,0,0,False,False,True,,RegData 6.0
1970,49,Transportation,,1522701,1522701,,0,0,False,False,True,,RegData 6.0
1970,50,Wildlife and Fisheries,,150534,150534,,0,0,False,False,True,,RegData 6.0
1971,1,General Provisions,,133868,133868,,0,0,False,False,True,,RegData 6.0
1971,4,Accounts,,46243,46243,,0,0,False,False,True,,RegData 6.0
1971,5,Administrative Personnel,,233987,233987,,0,0,False,False,True,,RegData 6.0
1971,7,Agriculture,,4682179,4682179,,0,0,False,False,True,,RegData 6.0
1971,8,Aliens and Nationality,,138773,138773,,0,0,False,False,True,,RegData 6.0
1971,9,Animals and Animal Products,,337037,337037,,0,0,False,False,True,,RegData 6.0
1971,10,Energy,,272643,272643,,0,0,False,False,True,,RegData 6.0
1971,12,Banks and Banking,,800466,800466,,0,0,False,False,True,,RegData 6.0
1971,13,Business Credit and Assistance,,201895,201895,,0,0,False,False,True,,RegData 6.0
1971,14,Aeronautics and Space,,1224991,1224991,,0,0,False,False,True,,RegData 6.0
1971,15,Commerce and Foreign Trade,,312624,312624,,0,0,False,False,True,,RegData 6.0
1971,16,Commercial Practices,,792421,792421,,0,0,False,False,True,,RegData 6.0
1971,17,Commodity and Securities Exchanges,,444371,444371,,0,0,False,False,True,,RegData 6.0
1971,18,Conservation of Power and Water Resources,,626413,626413,,0,0,False,False,True,,RegData 6.0
1971,19,Customs Duties,,422217,422217,,0,0,False,False,True,,RegData 6.0
1971,20,Employees' Benefits,,674379,674379,,0,0,False,False,True,,RegData 6.0
1971,21,Food and Drugs,,1400219,1400219,,0,0,False,False,True,,RegData 6.0
1971,22,Foreign Relations,,277498,277498,,0,0,False,False,True,,RegData 6.0
1971,23,Highways,,62209,62209,,0,0,False,False,True,,RegData 6.0
