year,title,vol,pages,words,words_body,word_source,pdf_present,xml_present,scraped_at
2000,1,1,114,41166,29262,xml,True,True,2026-06-23
2000,3,1,411,155577,155577,pdf,True,False,2026-06-23
2000,4,1,165,80757,70937,xml,True,True,2026-06-23
2000,5,1,816,453794,434462,xml,True,True,2026-06-23
2000,5,2,596,353935,336397,xml,True,True,2026-06-23
2000,5,3,923,465961,450929,xml,True,True,2026-06-23
2000,7,1,532,309362,295652,xml,True,True,2026-06-23
2000,7,2,661,331030,315307,xml,True,True,2026-06-23
2000,7,3,412,217994,204545,xml,True,True,2026-06-23
2000,7,4,1035,643941,621662,xml,True,True,2026-06-23
2000,7,5,539,303222,287450,xml,True,True,2026-06-23
2000,7,6,789,535987,522656,xml,True,True,2026-06-23
2000,7,7,701,418145,403143,xml,True,True,2026-06-23
2000,7,8,871,515972,493107,xml,True,True,2026-06-23
2000,7,9,344,159538,138064,xml,True,True,2026-06-23
2000,7,10,816,471295,448699,xml,True,True,2026-06-23
2000,7,11,1181,649758,630586,xml,True,True,2026-06-23
2000,7,12,388,238780,226850,xml,True,True,2026-06-23
2000,7,13,711,448658,430869,xml,True,True,2026-06-23
2000,7,14,729,461412,442589,xml,True,True,2026-06-23
2000,7,15,603,319287,308808,xml,True,True,2026-06-23
2000,8,1,790,491937,470195,xml,True,True,2026-06-23
2000,9,1,893,543121,518064,xml,True,True,2026-06-23
2000,9,2,831,480412,464997,xml,True,True,2026-06-23
2000,10,1,894,519863,500981,xml,True,True,2026-06-23
2000,10,2,728,441759,426351,xml,True,True,2026-06-23
2000,10,3,727,322987,308131,xml,True,True,2026-06-23
2000,10,4,922,529267,517282,xml,True,True,2026-06-23
2000,11,1,428,216700,177614,xml,True,True,2026-06-23
2000,12,1,347,200740,188504,xml,True,True,2026-06-23
2000,12,2,423,253756,240804,xml,True,True,2026-06-23
2000,12,3,848,547109,533906,xml,True,True,2026-06-23
2000,12,4,550,323877,308482,xml,True,True,2026-06-23
2000,12,5,514,303023,274727,xml,True,True,2026-06-23
2000,12,6,1016,590749,561177,xml,True,True,2026-06-23
2000,13,1,658,370787,355357,xml,True,True,2026-06-23
2000,14,1,1099,601224,521084,xml,True,True,2026-06-23
