year,title,vol,pages
2021,1,1,176
2021,2,1,752
2021,3,1,788
2021,4,1,145
2021,5,1,958
2021,5,2,745
2021,5,3,1232
2021,6,1,398
2021,7,1,654
2021,7,2,602
2021,7,3,494
2021,7,4,1140
2021,7,5,494
2021,7,6,674
2021,7,7,664
2021,7,8,746
2021,7,9,283
2021,7,10,1272
2021,7,11,841
2021,7,12,626
2021,7,13,282
2021,7,14,330
2021,7,15,1159
2021,8,1,1276
2021,9,1,1084
2021,9,2,769
2021,10,1,1116
2021,10,2,930
2021,10,3,1285
2021,10,4,1131
2021,11,1,550
2021,12,1,1181
2021,12,2,690
2021,12,3,1025
2021,12,4,808
2021,12,5,744
2021,12,6,553
2021,12,7,1204
2021,12,8,768
2021,12,9,1333
2021,12,10,986
2021,13,1,949
2021,14,1,939
2021,14,2,994
2021,14,3,953
2021,14,4,1008
2021,14,5,429
2021,15,1,450
2021,15,2,1286
2021,15,3,598
2021,16,1,760
2021,16,2,975
2021,17,1,986
2021,17,2,588
2021,17,3,974
2021,17,4,852
2021,17,5,705
2021,18,1,1312
2021,18,2,377
2021,19,1,1127
2021,19,2,1019
2021,19,3,420
2021,20,1,688
2021,20,2,1393
2021,20,3,680
2021,20,4,771
2021,21,1,597
2021,21,2,781
2021,21,3,652
2021,21,4,282
2021,21,5,402
2021,21,6,670
2021,21,7,210
2021,21,8,1005
2021,21,9,357
2021,22,1,1143
2021,22,2,586
2021,23,1,816
2021,24,1,813
2021,24,2,718
2021,24,3,380
2021,24,4,866
2021,24,5,359
2021,25,1,1011
2021,25,2,502
2021,26,1,741
2021,26,2,630
2021,26,3,937
2021,26,4,1167
2021,26,5,863
2021,26,6,766
2021,26,7,720
2021,26,8,950
2021,26,9,644
2021,26,10,962
2021,26,11,1060
2021,26,12,954
2021,26,13,1121
2021,26,14,1206
2021,26,15,921
2021,26,16,814
2021,26,17,538
2021,26,18,358
2021,26,19,770
2021,26,20,1071
2021,26,21,107
2021,26,22,207
2021,27,1,1037
2021,27,2,454
2021,27,3,232
2021,28,1,1235
2021,28,2,896
2021,29,1,771
2021,29,2,299
2021,29,3,955
2021,29,4,525
2021,29,5,999
2021,29,6,732
2021,29,7,409
2021,29,8,791
2021,29,9,1343
2021,30,1,806
2021,30,2,671
2021,30,3,1012
2021,31,1,562
2021,31,2,604
2021,31,3,1100
2021,32,1,964
2021,32,2,1065
2021,32,3,372
2021,32,4,175
2021,32,5,330
2021,32,6,586
2021,33,1,744
2021,33,2,1189
2021,33,3,751
2021,34,1,615
2021,34,2,549
2021,34,3,702
2021,34,4,500
2021,36,1,540
2021,36,2,562
2021,36,3,823
2021,37,1,1001
2021,38,1,969
2021,38,2,1137
2021,39,1,584
2021,40,1,840
2021,40,2,726
2021,40,3,1369
2021,40,4,877
2021,40,5,662
2021,40,6,446
2021,40,7,688
2021,40,8,878
