Month,Months in Office,Reagan,Bush 41,Clinton,Bush 43,Obama,Trump 45,Biden,Trump 47
Jan,0,,2.0,0,3,2,1.0,0.0,1.0
Feb,1,0.0,4.0,6,4,4,1.0,6.0,1.0
Mar,2,0.0,6.0,13,9,8,1.0,10.0,2.0
Apr,3,0.0,7.0,15,12,11,3.0,12.0,3.0
May,4,0.0,8.0,18,17,13,5.0,22.0,4.0
Jun,5,0.0,11.0,20,19,15,5.0,24.0,6.0
Jul,6,0.0,13.0,24,21,22,7.0,32.0,
Aug,7,1.0,15.0,27,25,27,10.0,42.0,
Sep,8,1.0,20.0,30,28,29,10.0,45.0,
Oct,9,1.0,22.0,33,31,33,11.0,51.0,
Nov,10,1.0,24.0,35,34,42,18.0,61.0,
Dec,11,1.0,26.0,40,37,48,20.0,66.0,
Jan,12,1.0,28.0,45,39,54,23.0,69.0,
Feb,13,1.0,28.0,56,41,56,23.0,71.0,
Mar,14,1.0,37.0,63,45,63,24.0,73.0,
Apr,15,1.0,39.0,69,48,71,27.0,76.0,
May,16,4.0,39.0,75,53,79,31.0,84.0,
Jun,17,4.0,43.0,82,57,86,33.0,84.0,
Jul,18,7.0,45.0,84,58,94,37.0,88.0,
Aug,19,8.0,48.0,90,63,101,45.0,93.0,
Sep,20,8.0,49.0,93,67,106,46.0,97.0,
Oct,21,9.0,55.0,95,71,113,46.0,103.0,
Nov,22,12.0,58.0,97,73,118,51.0,110.0,
Dec,23,12.0,60.0,99,76,122,58.0,114.0,
Jan,24,13.0,62.0,106,78,124,60.0,118.0,
Feb,25,13.0,66.0,110,81,128,62.0,120.0,
Mar,26,17.0,70.0,116,82,135,63.0,121.0,
Apr,27,19.0,77.0,117,85,140,66.0,124.0,
May,28,22.0,78.0,119,87,143,71.0,127.0,
Jun,29,22.0,84.0,122,91,149,77.0,131.0,
Jul,30,23.0,91.0,122,96,151,83.0,136.0,
Aug,31,26.0,97.0,129,101,157,91.0,148.0,
Sep,32,31.0,103.0,134,103,164,99.0,160.0,
Oct,33,34.0,105.0,135,111,165,100.0,169.0,
Nov,34,35.0,109.0,135,114,172,106.0,179.0,
Dec,35,38.0,111.0,139,119,175,113.0,187.0,
Jan,36,40.0,117.0,140,125,178,119.0,196.0,
Feb,37,41.0,122.0,140,129,181,120.0,204.0,
Mar,38,41.0,122.0,142,130,186,125.0,212.0,
Apr,39,42.0,128.0,145,133,190,136.0,246.0,
May,40,43.0,130.0,147,137,198,154.0,273.0,
Jun,41,45.0,133.0,148,140,200,169.0,274.0,
Jul,42,45.0,136.0,155,146,200,177.0,275.0,
Aug,43,46.0,142.0,163,149,206,189.0,284.0,
Sep,44,47.0,146.0,164,153,212,199.0,288.0,
Oct,45,50.0,148.0,171,155,214,207.0,292.0,
Nov,46,52.0,153.0,172,160,219,217.0,301.0,
Dec,47,54.0,155.0,176,167,220,227.0,310.0,
Jan,48,58.0,183.0,179,170,227,247.0,319.0,
Feb,49,59.0,,182,171,232,,,
Mar,50,65.0,,183,176,236,,,
Apr,51,66.0,,190,181,239,,,
May,52,68.0,,194,185,243,,,
Jun,53,69.0,,196,187,245,,,
Jul,54,72.0,,199,189,251,,,
Aug,55,72.0,,203,195,259,,,
Sep,56,75.0,,206,201,264,,,
Oct,57,78.0,,208,203,266,,,
Nov,58,79.0,,208,207,269,,,
Dec,59,81.0,,212,209,277,,,
Jan,60,81.0,,216,211,281,,,
Feb,61,82.0,,217,212,283,,,
Mar,62,84.0,,218,213,288,,,
Apr,63,86.0,,222,219,293,,,
May,64,90.0,,224,224,300,,,
Jun,65,93.0,,229,225,302,,,
Jul,66,94.0,,230,226,304,,,
Aug,67,96.0,,234,231,314,,,
Sep,68,96.0,,240,231,318,,,
Oct,69,101.0,,245,233,322,,,
Nov,70,102.0,,247,238,327,,,
Dec,71,103.0,,252,242,334,,,
Jan,72,105.0,,254,244,338,,,
Feb,73,107.0,,254,246,341,,,
Mar,74,108.0,,260,248,342,,,
Apr,75,108.0,,264,252,345,,,
May,76,109.0,,265,255,348,,,
Jun,77,111.0,,269,256,355,,,
Jul,78,115.0,,273,258,360,,,
Aug,79,116.0,,276,267,365,,,
Sep,80,118.0,,279,269,370,,,
Oct,81,122.0,,282,271,380,,,
Nov,82,125.0,,283,278,388,,,
Dec,83,129.0,,288,286,397,,,
Jan,84,130.0,,289,288,400,,,
Feb,85,133.0,,294,290,404,,,
Mar,86,134.0,,295,291,412,,,
Apr,87,136.0,,299,297,415,,,
May,88,138.0,,302,300,423,,,
Jun,89,141.0,,306,304,431,,,
Jul,90,142.0,,310,305,436,,,
Aug,91,146.0,,316,312,446,,,
Sep,92,151.0,,320,313,450,,,
Oct,93,153.0,,323,326,459,,,
Nov,94,155.0,,333,341,470,,,
Dec,95,155.0,,339,350,484,,,
Jan,96,157.0,,358,359,498,,,
