Presidential Year,Presidential Party,Economically Significant Rules Published by DOC
1981,Republican,0
1982,Republican,1
1983,Republican,0
1984,Republican,0
1985,Republican,0
1986,Republican,0
1987,Republican,0
1988,Republican,0
1989,Republican,1
1990,Republican,0
1991,Republican,0
1992,Republican,0
1993,Democratic,0
1994,Democratic,2
1995,Democratic,2
1996,Democratic,3
1997,Democratic,0
1998,Democratic,1
1999,Democratic,0
2000,Democratic,2
2001,Republican,1
2002,Republican,0
2003,Republican,1
2004,Republican,1
2005,Republican,2
2006,Republican,1
2007,Republican,1
2008,Republican,1
2009,Democratic,3
2010,Democratic,0
2011,Democratic,0
2012,Democratic,1
2013,Democratic,1
2014,Democratic,0
2015,Democratic,0
2016,Democratic,0
2017,Republican,2
2018,Republican,1
2019,Republican,0
2020,Republican,2
2021,Democratic,1
2022,Democratic,1
2023,Democratic,6
