Presidential Year,Economically Significant Rules Published by DOE
1981,0
1982,0
1983,2
1984,0
1985,1
1986,0
1987,0
1988,0
1989,0
1990,0
1991,1
1992,0
1993,0
1994,0
1995,0
1996,0
1997,1
1998,0
1999,0
2000,4
2001,0
2002,1
2003,0
2004,0
2005,0
2006,0
2007,2
2008,2
2009,5
2010,2
2011,4
2012,1
2013,2
2014,8
2015,4
2016,4
2017,2
2018,1
2019,3
2020,0
2021,0
2022,4
"Compiled by the George Washington University Regulatory Studies Center, www.regulatorystudies.gwu.edu",
Sources: Office of the Federal Register (federalregister.gov) for the years starting 2021; Office of Information and Regulatory Affairs (OIRA) (reginfo.gov) for all the prior years.,
"Updated: March 24, 2023",
