Presidential Year,Economically Significant Rules Published by SBA
1981,0
1982,0
1983,1
1984,4
1985,3
1986,4
1987,2
1988,2
1989,2
1990,1
1991,3
1992,1
1993,1
1994,4
1995,0
1996,0
1997,0
1998,1
1999,0
2000,1
2001,2
2002,0
2003,0
2004,1
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,26
2021,6
2022,0
"Compiled by the George Washington University Regulatory Studies Center, www.regulatorystudies.gwu.edu",
Sources: Office of the Federal Register (federalregister.gov) for the years starting 2021; Office of Information and Regulatory Affairs (OIRA) (reginfo.gov) for all the prior years.,
"Updated: March 26, 2023",
