Presidential Year,Economically Significant Rules Published by USDA
1981,0
1982,3
1983,6
1984,5
1985,2
1986,6
1987,6
1988,5
1989,11
1990,8
1991,15
1992,14
1993,16
1994,19
1995,9
1996,11
1997,6
1998,4
1999,6
2000,18
2001,4
2002,7
2003,7
2004,7
2005,5
2006,4
2007,6
2008,5
2009,8
2010,4
2011,6
2012,1
2013,7
2014,8
2015,6
2016,9
2017,0
2018,6
2019,8
2020,8
2021,4
2022,3
"Compiled by the George Washington University Regulatory Studies Center, www.regulatorystudies.gwu.edu",
Sources: Office of the Federal Register (federalregister.gov) for the years starting 2021; Office of Information and Regulatory Affairs (OIRA) (reginfo.gov) for all the prior years.,
"Updated: March 24, 2023",
