parent_agency,acronym,name,presidential_year,final_rules,proposed_rules
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,1995,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,1996,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,1997,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,1998,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,1999,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2000,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2001,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2002,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2003,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2004,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2005,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2006,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2007,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2008,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2009,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2010,1,1
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2011,1,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2012,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2013,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2014,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2015,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2016,1,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2017,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2018,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2019,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2020,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2021,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2022,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2023,0,0
administrative-conference-of-the-united-states,ACUS,Administrative Conference of the United States,2024,0,0
advisory-council-on-historic-preservation,ACHP,Advisory Council on Historic Preservation,1995,0,0
advisory-council-on-historic-preservation,ACHP,Advisory Council on Historic Preservation,1996,0,1
advisory-council-on-historic-preservation,ACHP,Advisory Council on Historic Preservation,1997,0,0
advisory-council-on-historic-preservation,ACHP,Advisory Council on Historic Preservation,1998,1,0
advisory-council-on-historic-preservation,ACHP,Advisory Council on Historic Preservation,1999,1,0
advisory-council-on-historic-preservation,ACHP,Advisory Council on Historic Preservation,2000,1,2
advisory-council-on-historic-preservation,ACHP,Advisory Council on Historic Preservation,2001,0,0
