parent_agency,agency,acronym,presidential_year,final_rules,proposed_rules
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,1995,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,1996,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,1997,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,1998,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,1999,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2000,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2001,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2002,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2003,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2004,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2005,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2006,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2007,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2008,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2009,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2010,1,1
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2011,1,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2012,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2013,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2014,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2015,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2016,1,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2017,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2018,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2019,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2020,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2021,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2022,0,0
administrative-conference-of-the-united-states,administrative-conference-of-the-united-states,ACUS,2023,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,1995,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,1996,0,1
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,1997,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,1998,1,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,1999,1,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2000,1,2
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2001,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2002,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2003,0,2
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2004,1,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2005,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2006,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2007,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2008,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2009,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2010,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2011,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2012,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2013,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2014,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2015,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2016,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2017,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2018,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2019,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2020,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2021,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2022,0,0
advisory-council-on-historic-preservation,advisory-council-on-historic-preservation,ACHP,2023,0,0
african-development-foundation,african-development-foundation,USADF,1995,1,0
african-development-foundation,african-development-foundation,USADF,1996,1,0
african-development-foundation,african-development-foundation,USADF,1997,0,0
african-development-foundation,african-development-foundation,USADF,1998,0,0
african-development-foundation,african-development-foundation,USADF,1999,0,0
african-development-foundation,african-development-foundation,USADF,2000,0,0
african-development-foundation,african-development-foundation,USADF,2001,0,1
african-development-foundation,african-development-foundation,USADF,2002,0,0
african-development-foundation,african-development-foundation,USADF,2003,1,0
african-development-foundation,african-development-foundation,USADF,2004,0,0
african-development-foundation,african-development-foundation,USADF,2005,0,0
african-development-foundation,african-development-foundation,USADF,2006,0,0
african-development-foundation,african-development-foundation,USADF,2007,0,0
african-development-foundation,african-development-foundation,USADF,2008,0,0
african-development-foundation,african-development-foundation,USADF,2009,0,0
african-development-foundation,african-development-foundation,USADF,2010,0,0
african-development-foundation,african-development-foundation,USADF,2011,0,0
african-development-foundation,african-development-foundation,USADF,2012,0,0
african-development-foundation,african-development-foundation,USADF,2013,0,0
african-development-foundation,african-development-foundation,USADF,2014,0,0
