parent_agency,acronym,presidential_year,final_rules,proposed_rules
agriculture-department,USDA,1995,419,224
agriculture-department,USDA,1996,402,217
agriculture-department,USDA,1997,366,167
agriculture-department,USDA,1998,310,173
agriculture-department,USDA,1999,278,169
agriculture-department,USDA,2000,295,165
agriculture-department,USDA,2001,211,119
agriculture-department,USDA,2002,287,133
agriculture-department,USDA,2003,269,172
agriculture-department,USDA,2004,263,130
agriculture-department,USDA,2005,253,137
agriculture-department,USDA,2006,252,158
agriculture-department,USDA,2007,198,125
agriculture-department,USDA,2008,210,113
agriculture-department,USDA,2009,181,102
agriculture-department,USDA,2010,168,109
agriculture-department,USDA,2011,170,145
agriculture-department,USDA,2012,124,81
agriculture-department,USDA,2013,156,102
agriculture-department,USDA,2014,158,86
agriculture-department,USDA,2015,155,106
agriculture-department,USDA,2016,156,105
agriculture-department,USDA,2017,84,71
agriculture-department,USDA,2018,100,99
agriculture-department,USDA,2019,124,80
agriculture-department,USDA,2020,107,65
agriculture-department,USDA,2021,77,57
agriculture-department,USDA,2022,77,62
agriculture-department,USDA,2023,81,78
commerce-department,DOC,1995,294,159
commerce-department,DOC,1996,333,197
commerce-department,DOC,1997,306,184
commerce-department,DOC,1998,317,166
commerce-department,DOC,1999,355,179
commerce-department,DOC,2000,325,177
commerce-department,DOC,2001,297,190
commerce-department,DOC,2002,287,175
commerce-department,DOC,2003,272,206
commerce-department,DOC,2004,311,126
commerce-department,DOC,2005,328,145
commerce-department,DOC,2006,327,153
commerce-department,DOC,2007,338,138
commerce-department,DOC,2008,360,169
commerce-department,DOC,2009,322,143
commerce-department,DOC,2010,324,135
commerce-department,DOC,2011,341,208
commerce-department,DOC,2012,335,189
commerce-department,DOC,2013,310,173
commerce-department,DOC,2014,346,181
commerce-department,DOC,2015,337,147
commerce-department,DOC,2016,387,174
commerce-department,DOC,2017,313,106
commerce-department,DOC,2018,304,113
commerce-department,DOC,2019,310,129
commerce-department,DOC,2020,353,114
commerce-department,DOC,2021,315,100
commerce-department,DOC,2022,294,113
commerce-department,DOC,2023,313,136
commodity-futures-trading-commission,CFTC,1995,16,5
commodity-futures-trading-commission,CFTC,1996,17,11
commodity-futures-trading-commission,CFTC,1997,23,11
commodity-futures-trading-commission,CFTC,1998,15,23
commodity-futures-trading-commission,CFTC,1999,15,20
commodity-futures-trading-commission,CFTC,2000,26,16
commodity-futures-trading-commission,CFTC,2001,15,18
commodity-futures-trading-commission,CFTC,2002,18,9
commodity-futures-trading-commission,CFTC,2003,11,9
commodity-futures-trading-commission,CFTC,2004,12,8
commodity-futures-trading-commission,CFTC,2005,7,9
commodity-futures-trading-commission,CFTC,2006,11,8
commodity-futures-trading-commission,CFTC,2007,13,13
commodity-futures-trading-commission,CFTC,2008,9,9
commodity-futures-trading-commission,CFTC,2009,10,12
commodity-futures-trading-commission,CFTC,2010,6,48
commodity-futures-trading-commission,CFTC,2011,27,31
commodity-futures-trading-commission,CFTC,2012,26,20
commodity-futures-trading-commission,CFTC,2013,23,9
commodity-futures-trading-commission,CFTC,2014,2,13
commodity-futures-trading-commission,CFTC,2015,8,11
commodity-futures-trading-commission,CFTC,2016,22,19
commodity-futures-trading-commission,CFTC,2017,9,6
commodity-futures-trading-commission,CFTC,2018,7,15
commodity-futures-trading-commission,CFTC,2019,16,24
commodity-futures-trading-commission,CFTC,2020,33,19
commodity-futures-trading-commission,CFTC,2021,6,3
commodity-futures-trading-commission,CFTC,2022,3,6
commodity-futures-trading-commission,CFTC,2023,5,15
consumer-financial-protection-bureau,CFPB,2011,21,3
consumer-financial-protection-bureau,CFPB,2012,24,28
consumer-financial-protection-bureau,CFPB,2013,33,12
consumer-financial-protection-bureau,CFPB,2014,14,15
consumer-financial-protection-bureau,CFPB,2015,15,3
consumer-financial-protection-bureau,CFPB,2016,18,12
consumer-financial-protection-bureau,CFPB,2017,18,11
consumer-financial-protection-bureau,CFPB,2018,14,10
consumer-financial-protection-bureau,CFPB,2019,17,17
consumer-financial-protection-bureau,CFPB,2020,32,14
consumer-financial-protection-bureau,CFPB,2021,32,9
consumer-financial-protection-bureau,CFPB,2022,35,5
consumer-financial-protection-bureau,CFPB,2023,21,11
consumer-product-safety-commission,CPSC,1995,17,7
consumer-product-safety-commission,CPSC,1996,11,5
consumer-product-safety-commission,CPSC,1997,8,8
consumer-product-safety-commission,CPSC,1998,9,11
consumer-product-safety-commission,CPSC,1999,5,11
consumer-product-safety-commission,CPSC,2000,5,5
consumer-product-safety-commission,CPSC,2001,5,7
consumer-product-safety-commission,CPSC,2002,2,5
consumer-product-safety-commission,CPSC,2003,4,6
consumer-product-safety-commission,CPSC,2004,1,2
consumer-product-safety-commission,CPSC,2005,2,4
consumer-product-safety-commission,CPSC,2006,5,14
consumer-product-safety-commission,CPSC,2007,2,2
consumer-product-safety-commission,CPSC,2008,7,9
consumer-product-safety-commission,CPSC,2009,9,11
consumer-product-safety-commission,CPSC,2010,18,17
consumer-product-safety-commission,CPSC,2011,16,17
consumer-product-safety-commission,CPSC,2012,14,15
consumer-product-safety-commission,CPSC,2013,11,9
consumer-product-safety-commission,CPSC,2014,6,12
consumer-product-safety-commission,CPSC,2015,10,23
consumer-product-safety-commission,CPSC,2016,8,11
consumer-product-safety-commission,CPSC,2017,14,17
consumer-product-safety-commission,CPSC,2018,14,8
consumer-product-safety-commission,CPSC,2019,10,12
consumer-product-safety-commission,CPSC,2020,10,6
consumer-product-safety-commission,CPSC,2021,9,11
consumer-product-safety-commission,CPSC,2022,19,14
consumer-product-safety-commission,CPSC,2023,13,21
defense-department,DOD,1995,157,101
defense-department,DOD,1996,215,69
defense-department,DOD,1997,138,65
defense-department,DOD,1998,153,45
defense-department,DOD,1999,145,68
defense-department,DOD,2000,160,63
defense-department,DOD,2001,101,45
defense-department,DOD,2002,131,75
defense-department,DOD,2003,152,59
defense-department,DOD,2004,144,66
defense-department,DOD,2005,169,89
defense-department,DOD,2006,186,46
defense-department,DOD,2007,143,56
defense-department,DOD,2008,148,39
defense-department,DOD,2009,141,41
defense-department,DOD,2010,165,72
defense-department,DOD,2011,177,68
defense-department,DOD,2012,147,37
defense-department,DOD,2013,133,52
defense-department,DOD,2014,130,65
defense-department,DOD,2015,134,47
defense-department,DOD,2016,138,70
defense-department,DOD,2017,31,20
defense-department,DOD,2018,118,49
defense-department,DOD,2019,171,53
defense-department,DOD,2020,136,50
defense-department,DOD,2021,67,40
defense-department,DOD,2022,80,35
defense-department,DOD,2023,82,45
education-department,ED,1995,38,21
education-department,ED,1996,29,23
education-department,ED,1997,19,8
education-department,ED,1998,15,12
education-department,ED,1999,28,25
education-department,ED,2000,27,20
education-department,ED,2001,8,5
education-department,ED,2002,8,9
education-department,ED,2003,8,5
education-department,ED,2004,13,8
education-department,ED,2005,7,6
education-department,ED,2006,13,6
education-department,ED,2007,9,10
education-department,ED,2008,9,12
education-department,ED,2009,12,6
education-department,ED,2010,13,9
education-department,ED,2011,10,8
education-department,ED,2012,14,18
education-department,ED,2013,41,40
education-department,ED,2014,32,41
education-department,ED,2015,22,29
education-department,ED,2016,32,22
education-department,ED,2017,23,7
education-department,ED,2018,15,17
education-department,ED,2019,20,16
education-department,ED,2020,37,20
education-department,ED,2021,28,24
education-department,ED,2022,16,13
education-department,ED,2023,20,19
energy-department,DOE,1995,50,51
energy-department,DOE,1996,41,48
energy-department,DOE,1997,42,39
energy-department,DOE,1998,33,46
energy-department,DOE,1999,32,39
energy-department,DOE,2000,63,29
energy-department,DOE,2001,36,36
energy-department,DOE,2002,31,45
energy-department,DOE,2003,37,15
energy-department,DOE,2004,34,21
energy-department,DOE,2005,42,32
energy-department,DOE,2006,62,52
energy-department,DOE,2007,53,40
energy-department,DOE,2008,42,52
energy-department,DOE,2009,58,42
energy-department,DOE,2010,52,86
energy-department,DOE,2011,52,92
energy-department,DOE,2012,46,77
energy-department,DOE,2013,49,99
energy-department,DOE,2014,50,114
energy-department,DOE,2015,61,115
energy-department,DOE,2016,75,92
energy-department,DOE,2017,42,33
energy-department,DOE,2018,29,38
energy-department,DOE,2019,38,75
energy-department,DOE,2020,44,79
energy-department,DOE,2021,48,105
energy-department,DOE,2022,49,108
energy-department,DOE,2023,62,60
environmental-protection-agency,EPA,1995,674,573
environmental-protection-agency,EPA,1996,679,568
environmental-protection-agency,EPA,1997,615,480
environmental-protection-agency,EPA,1998,626,468
environmental-protection-agency,EPA,1999,659,554
environmental-protection-agency,EPA,2000,563,444
environmental-protection-agency,EPA,2001,686,524
environmental-protection-agency,EPA,2002,622,471
environmental-protection-agency,EPA,2003,549,378
environmental-protection-agency,EPA,2004,495,344
environmental-protection-agency,EPA,2005,522,407
environmental-protection-agency,EPA,2006,491,348
environmental-protection-agency,EPA,2007,471,353
environmental-protection-agency,EPA,2008,469,300
environmental-protection-agency,EPA,2009,444,303
environmental-protection-agency,EPA,2010,460,392
