control_number,citation,url,major_rule_report
196662,84 FR 58834,https://www.gao.gov/fedrules/196662,https://www.gao.gov/products/b-331576
196661,84 FR 58834,https://www.gao.gov/fedrules/196661,https://www.gao.gov/products/b-331576
198116,84 FR 32520,https://www.gao.gov/fedrules/198116,https://www.gao.gov/products/b-331799
198118,84 FR 32520,https://www.gao.gov/fedrules/198118,https://www.gao.gov/products/b-331799
177590,79 FR 11436,https://www.gao.gov/fedrules/177590,https://www.gao.gov/products/gao-14-572r
177508,79 FR 11436,https://www.gao.gov/fedrules/177508,https://www.gao.gov/products/gao-14-572r
143406,71 FR 47870,https://www.gao.gov/fedrules/143406,https://www.gao.gov/products/gao-06-1073r
143408,71 FR 47870,https://www.gao.gov/fedrules/143408,https://www.gao.gov/products/gao-06-1073r
143407,71 FR 47870,https://www.gao.gov/fedrules/143407,https://www.gao.gov/products/gao-06-1073r
143409,71 FR 47870,https://www.gao.gov/fedrules/143409,https://www.gao.gov/products/gao-06-1073r
101301,61 FR 59717,https://www.gao.gov/fedrules/101301,https://www.gao.gov/products/ogc-97-9
101302,61 FR 59717,https://www.gao.gov/fedrules/101302,https://www.gao.gov/products/ogc-97-9
