control_number,citation,publication_date_fr,publication_date_gao,major_rule_report,url
208837,89 FR 33196,2024-04-29,2024-05-03,https://www.gao.gov/products/b-336333,https://www.gao.gov/fedrules/208837
208838,89 FR 35634,2024-05-01,2024-04-30,https://www.gao.gov/products/b-336314,https://www.gao.gov/fedrules/208838
208835,89 FR 32760,2024-04-26,2024-04-30,https://www.gao.gov/products/b-336310,https://www.gao.gov/fedrules/208835
208811,89 FR 29834,2024-04-22,2024-04-29,https://www.gao.gov/products/b-336299,https://www.gao.gov/fedrules/208811
208831,89 FR 31544,2024-04-24,2024-04-29,https://www.gao.gov/products/b-336300,https://www.gao.gov/fedrules/208831
208833,89 FR 34770,2024-04-30,2024-04-25,https://www.gao.gov/products/b-336302,https://www.gao.gov/fedrules/208833
208820,89 FR 31398,2024-04-24,2024-04-25,https://www.gao.gov/products/b-336286,https://www.gao.gov/fedrules/208820
208816,89 FR 28856,2024-04-19,2024-04-24,https://www.gao.gov/products/b-336276,https://www.gao.gov/fedrules/208816
208812,89 FR 31320,2024-04-24,2024-04-23,https://www.gao.gov/products/b-336270,https://www.gao.gov/fedrules/208812
208787,89 FR 28218,2024-04-18,2024-04-19,https://www.gao.gov/products/b-336264,https://www.gao.gov/fedrules/208787
208832,89 FR 34384,2024-04-30,2024-04-19,https://www.gao.gov/products/b-336301,https://www.gao.gov/fedrules/208832
208826,89 FR 32976,2024-04-26,2024-04-17,https://www.gao.gov/products/b-336288,https://www.gao.gov/fedrules/208826
208779,89 FR 29096,2024-04-19,2024-04-15,https://www.gao.gov/products/b-336251,https://www.gao.gov/fedrules/208779
208828,89 FR 32532,2024-04-26,2024-04-12,https://www.gao.gov/products/b-336287,https://www.gao.gov/fedrules/208828
208781,89 FR 28488,2024-04-18,2024-04-11,https://www.gao.gov/products/b-336248,https://www.gao.gov/fedrules/208781
208770,89 FR 26218,2024-04-15,2024-04-04,https://www.gao.gov/products/b-336235,https://www.gao.gov/fedrules/208770
208810,89 FR 30448,2024-04-23,2024-04-04,https://www.gao.gov/products/b-336267,https://www.gao.gov/fedrules/208810
