Month,Months in Office,Reagan,Bush 41,Clinton,Bush 43,Obama,Trump 45,Biden,Trump 47
Jan,0,0,2.0,0,3,2,1.0,0.0,1.0
Feb,1,0,2.0,6,1,2,0.0,6.0,
Mar,2,0,2.0,7,5,4,0.0,4.0,
Apr,3,0,1.0,2,3,3,2.0,2.0,
May,4,0,1.0,3,5,2,2.0,10.0,
Jun,5,0,3.0,2,2,2,0.0,2.0,
Jul,6,0,2.0,4,2,7,2.0,8.0,
Aug,7,1,2.0,3,4,5,3.0,10.0,
Sep,8,0,5.0,3,3,2,0.0,3.0,
Oct,9,0,2.0,3,3,4,1.0,6.0,
Nov,10,0,2.0,2,3,9,7.0,10.0,
Dec,11,0,2.0,5,3,6,2.0,5.0,
Jan,12,0,2.0,5,2,6,3.0,3.0,
Feb,13,0,0.0,11,2,2,0.0,2.0,
Mar,14,0,9.0,7,4,7,1.0,2.0,
Apr,15,0,2.0,6,3,8,3.0,3.0,
May,16,3,0.0,6,5,8,4.0,8.0,
Jun,17,0,4.0,7,4,7,2.0,0.0,
Jul,18,3,2.0,2,1,8,4.0,4.0,
Aug,19,1,3.0,6,5,7,8.0,5.0,
Sep,20,0,1.0,3,4,5,1.0,4.0,
Oct,21,1,6.0,2,4,7,0.0,6.0,
Nov,22,3,3.0,2,2,5,5.0,7.0,
Dec,23,0,2.0,2,3,4,7.0,4.0,
Jan,24,1,2.0,7,2,2,2.0,4.0,
Feb,25,0,4.0,4,3,4,2.0,2.0,
Mar,26,4,4.0,6,1,7,1.0,1.0,
Apr,27,2,7.0,1,3,5,3.0,3.0,
May,28,3,1.0,2,2,3,5.0,3.0,
Jun,29,0,6.0,3,4,6,6.0,4.0,
Jul,30,1,7.0,0,5,2,6.0,5.0,
Aug,31,3,6.0,7,5,6,8.0,12.0,
Sep,32,5,6.0,5,2,7,8.0,12.0,
Oct,33,3,2.0,1,8,1,1.0,9.0,
Nov,34,1,4.0,0,3,7,6.0,10.0,
Dec,35,3,2.0,4,5,3,7.0,8.0,
Jan,36,2,6.0,1,6,3,6.0,9.0,
Feb,37,1,5.0,0,4,3,1.0,8.0,
Mar,38,0,0.0,2,1,5,5.0,8.0,
Apr,39,1,6.0,3,3,4,11.0,34.0,
May,40,1,2.0,2,4,8,18.0,27.0,
Jun,41,2,3.0,1,3,2,15.0,1.0,
Jul,42,0,3.0,7,6,0,8.0,1.0,
Aug,43,1,6.0,8,3,6,12.0,9.0,
Sep,44,1,4.0,1,4,6,10.0,4.0,
Oct,45,3,2.0,7,2,2,8.0,4.0,
Nov,46,2,5.0,1,5,5,10.0,9.0,
Dec,47,2,2.0,4,7,1,10.0,9.0,
Jan,48,4,28.0,3,3,7,20.0,9.0,
Feb,49,1,,3,1,5,,,
Mar,50,6,,1,5,4,,,
Apr,51,1,,7,5,3,,,
May,52,2,,4,4,4,,,
Jun,53,1,,2,2,2,,,
Jul,54,3,,3,2,6,,,
Aug,55,0,,4,6,8,,,
Sep,56,3,,3,6,5,,,
Oct,57,3,,2,2,2,,,
Nov,58,1,,0,4,3,,,
Dec,59,2,,4,2,8,,,
Jan,60,0,,4,2,4,,,
Feb,61,1,,1,1,2,,,
Mar,62,2,,1,1,5,,,
Apr,63,2,,4,6,5,,,
May,64,4,,2,5,7,,,
Jun,65,3,,5,1,2,,,
Jul,66,1,,1,1,2,,,
Aug,67,2,,4,5,10,,,
Sep,68,0,,6,0,4,,,
Oct,69,5,,5,2,4,,,
Nov,70,1,,2,5,5,,,
Dec,71,1,,5,4,7,,,
Jan,72,2,,2,2,4,,,
Feb,73,2,,0,2,3,,,
Mar,74,1,,6,2,1,,,
Apr,75,0,,4,4,3,,,
May,76,1,,1,3,3,,,
Jun,77,2,,4,1,7,,,
Jul,78,4,,4,2,5,,,
Aug,79,1,,3,9,5,,,
Sep,80,2,,3,2,5,,,
Oct,81,4,,3,2,10,,,
Nov,82,3,,1,7,8,,,
Dec,83,4,,5,8,9,,,
Jan,84,1,,1,2,3,,,
Feb,85,3,,5,2,4,,,
Mar,86,1,,1,1,8,,,
Apr,87,2,,4,6,3,,,
May,88,2,,3,3,8,,,
Jun,89,3,,4,4,8,,,
Jul,90,1,,4,1,5,,,
Aug,91,4,,6,7,10,,,
Sep,92,5,,4,1,4,,,
Oct,93,2,,3,13,9,,,
Nov,94,2,,10,15,11,,,
Dec,95,0,,6,9,14,,,
Jan,96,2,,19,9,14,,,
