Admin,Year,Month,Months in Office,Significant,Economically Significant,Other Significant
Reagan,1981,Jan,0,0.0,0.0,0.0
Reagan,1981,Feb,1,0.0,0.0,0.0
Reagan,1981,Mar,2,0.0,0.0,0.0
Reagan,1981,Apr,3,29.0,0.0,29.0
Reagan,1981,May,4,38.0,0.0,38.0
Reagan,1981,Jun,5,25.0,0.0,25.0
Reagan,1981,Jul,6,25.0,0.0,25.0
Reagan,1981,Aug,7,63.0,1.0,62.0
Reagan,1981,Sep,8,56.0,0.0,56.0
Reagan,1981,Oct,9,40.0,0.0,40.0
Reagan,1981,Nov,10,56.0,0.0,56.0
Reagan,1981,Dec,11,13.0,0.0,13.0
Reagan,1982,Jan,12,18.0,0.0,18.0
Reagan,1982,Feb,13,21.0,0.0,21.0
Reagan,1982,Mar,14,14.0,0.0,14.0
Reagan,1982,Apr,15,15.0,0.0,15.0
Reagan,1982,May,16,24.0,3.0,21.0
Reagan,1982,Jun,17,26.0,0.0,26.0
Reagan,1982,Jul,18,26.0,3.0,23.0
Reagan,1982,Aug,19,23.0,1.0,22.0
Reagan,1982,Sep,20,31.0,0.0,31.0
Reagan,1982,Oct,21,50.0,1.0,49.0
Reagan,1982,Nov,22,45.0,3.0,42.0
Reagan,1982,Dec,23,56.0,0.0,56.0
Reagan,1983,Jan,24,65.0,1.0,64.0
Reagan,1983,Feb,25,38.0,0.0,38.0
Reagan,1983,Mar,26,54.0,4.0,50.0
Reagan,1983,Apr,27,55.0,2.0,53.0
Reagan,1983,May,28,50.0,3.0,47.0
Reagan,1983,Jun,29,79.0,0.0,79.0
Reagan,1983,Jul,30,36.0,1.0,35.0
Reagan,1983,Aug,31,67.0,3.0,64.0
Reagan,1983,Sep,32,68.0,5.0,63.0
Reagan,1983,Oct,33,54.0,3.0,51.0
Reagan,1983,Nov,34,42.0,1.0,41.0
Reagan,1983,Dec,35,52.0,3.0,49.0
Reagan,1984,Jan,36,49.0,2.0,47.0
Reagan,1984,Feb,37,37.0,1.0,36.0
Reagan,1984,Mar,38,51.0,0.0,51.0
Reagan,1984,Apr,39,43.0,1.0,42.0
Reagan,1984,May,40,54.0,1.0,53.0
Reagan,1984,Jun,41,46.0,2.0,44.0
Reagan,1984,Jul,42,50.0,0.0,50.0
Reagan,1984,Aug,43,57.0,1.0,56.0
Reagan,1984,Sep,44,42.0,1.0,41.0
Reagan,1984,Oct,45,51.0,3.0,48.0
Reagan,1984,Nov,46,40.0,2.0,38.0
Reagan,1984,Dec,47,47.0,2.0,45.0
Reagan,1985,Jan,48,39.0,4.0,35.0
Reagan,1985,Feb,49,46.0,1.0,45.0
Reagan,1985,Mar,50,48.0,6.0,42.0
Reagan,1985,Apr,51,54.0,1.0,53.0
Reagan,1985,May,52,51.0,2.0,49.0
Reagan,1985,Jun,53,48.0,1.0,47.0
Reagan,1985,Jul,54,45.0,3.0,42.0
Reagan,1985,Aug,55,75.0,0.0,75.0
Reagan,1985,Sep,56,59.0,3.0,56.0
Reagan,1985,Oct,57,47.0,3.0,44.0
Reagan,1985,Nov,58,46.0,1.0,45.0
Reagan,1985,Dec,59,41.0,2.0,39.0
Reagan,1986,Jan,60,41.0,0.0,41.0
Reagan,1986,Feb,61,34.0,1.0,33.0
Reagan,1986,Mar,62,52.0,2.0,50.0
Reagan,1986,Apr,63,58.0,2.0,56.0
Reagan,1986,May,64,72.0,4.0,68.0
Reagan,1986,Jun,65,58.0,3.0,55.0
Reagan,1986,Jul,66,61.0,1.0,60.0
Reagan,1986,Aug,67,52.0,2.0,50.0
Reagan,1986,Sep,68,56.0,0.0,56.0
Reagan,1986,Oct,69,43.0,5.0,38.0
Reagan,1986,Nov,70,43.0,1.0,42.0
Reagan,1986,Dec,71,44.0,1.0,43.0
Reagan,1987,Jan,72,40.0,2.0,38.0
Reagan,1987,Feb,73,47.0,2.0,45.0
Reagan,1987,Mar,74,64.0,1.0,63.0
Reagan,1987,Apr,75,44.0,0.0,44.0
Reagan,1987,May,76,46.0,1.0,45.0
Reagan,1987,Jun,77,65.0,2.0,63.0
Reagan,1987,Jul,78,73.0,4.0,69.0
Reagan,1987,Aug,79,63.0,1.0,62.0
Reagan,1987,Sep,80,64.0,2.0,62.0
Reagan,1987,Oct,81,50.0,4.0,46.0
Reagan,1987,Nov,82,48.0,3.0,45.0
Reagan,1987,Dec,83,55.0,4.0,51.0
Reagan,1988,Jan,84,53.0,1.0,52.0
Reagan,1988,Feb,85,61.0,3.0,58.0
Reagan,1988,Mar,86,74.0,1.0,73.0
Reagan,1988,Apr,87,49.0,2.0,47.0
Reagan,1988,May,88,89.0,2.0,87.0
Reagan,1988,Jun,89,63.0,3.0,60.0
Reagan,1988,Jul,90,66.0,1.0,65.0
Reagan,1988,Aug,91,72.0,4.0,68.0
Reagan,1988,Sep,92,60.0,5.0,55.0
Reagan,1988,Oct,93,67.0,2.0,65.0
Reagan,1988,Nov,94,55.0,2.0,53.0
Reagan,1988,Dec,95,61.0,0.0,61.0
Reagan,1989,Jan,96,36.0,2.0,34.0
Bush 41,1989,Jan,0,58.0,2.0,56.0
Bush 41,1989,Feb,1,58.0,2.0,56.0
Bush 41,1989,Mar,2,59.0,2.0,57.0
Bush 41,1989,Apr,3,39.0,1.0,38.0
Bush 41,1989,May,4,64.0,1.0,63.0
Bush 41,1989,Jun,5,66.0,3.0,63.0
Bush 41,1989,Jul,6,47.0,2.0,45.0
Bush 41,1989,Aug,7,67.0,2.0,65.0
Bush 41,1989,Sep,8,72.0,5.0,67.0
Bush 41,1989,Oct,9,57.0,2.0,55.0
Bush 41,1989,Nov,10,67.0,2.0,65.0
Bush 41,1989,Dec,11,68.0,2.0,66.0
Bush 41,1990,Jan,12,67.0,2.0,65.0
Bush 41,1990,Feb,13,94.0,0.0,94.0
Bush 41,1990,Mar,14,77.0,9.0,68.0
Bush 41,1990,Apr,15,54.0,2.0,52.0
Bush 41,1990,May,16,89.0,0.0,89.0
Bush 41,1990,Jun,17,72.0,4.0,68.0
Bush 41,1990,Jul,18,68.0,2.0,66.0
Bush 41,1990,Aug,19,74.0,3.0,71.0
Bush 41,1990,Sep,20,54.0,1.0,53.0
Bush 41,1990,Oct,21,58.0,6.0,52.0
Bush 41,1990,Nov,22,44.0,3.0,41.0
Bush 41,1990,Dec,23,52.0,2.0,50.0
Bush 41,1991,Jan,24,72.0,2.0,70.0
Bush 41,1991,Feb,25,49.0,4.0,45.0
Bush 41,1991,Mar,26,63.0,4.0,59.0
Bush 41,1991,Apr,27,73.0,7.0,66.0
Bush 41,1991,May,28,71.0,1.0,70.0
Bush 41,1991,Jun,29,75.0,6.0,69.0
Bush 41,1991,Jul,30,60.0,7.0,53.0
Bush 41,1991,Aug,31,85.0,6.0,79.0
Bush 41,1991,Sep,32,66.0,6.0,60.0
Bush 41,1991,Oct,33,75.0,2.0,73.0
Bush 41,1991,Nov,34,61.0,4.0,57.0
Bush 41,1991,Dec,35,71.0,2.0,69.0
Bush 41,1992,Jan,36,72.0,6.0,66.0
Bush 41,1992,Feb,37,44.0,5.0,39.0
Bush 41,1992,Mar,38,53.0,0.0,53.0
Bush 41,1992,Apr,39,99.0,6.0,93.0
Bush 41,1992,May,40,86.0,2.0,84.0
Bush 41,1992,Jun,41,110.0,3.0,107.0
Bush 41,1992,Jul,42,141.0,3.0,138.0
Bush 41,1992,Aug,43,91.0,6.0,85.0
Bush 41,1992,Sep,44,115.0,4.0,111.0
Bush 41,1992,Oct,45,80.0,2.0,78.0
Bush 41,1992,Nov,46,107.0,5.0,102.0
Bush 41,1992,Dec,47,146.0,2.0,144.0
Bush 41,1993,Jan,48,104.0,28.0,76.0
Clinton,1993,Jan,0,19.0,0.0,19.0
Clinton,1993,Feb,1,46.0,6.0,40.0
Clinton,1993,Mar,2,98.0,7.0,91.0
Clinton,1993,Apr,3,58.0,2.0,56.0
Clinton,1993,May,4,79.0,3.0,76.0
Clinton,1993,Jun,5,96.0,2.0,94.0
Clinton,1993,Jul,6,131.0,4.0,127.0
Clinton,1993,Aug,7,102.0,3.0,99.0
Clinton,1993,Sep,8,110.0,3.0,107.0
Clinton,1993,Oct,9,87.0,3.0,84.0
Clinton,1993,Nov,10,86.0,2.0,84.0
Clinton,1993,Dec,11,108.0,5.0,103.0
Clinton,1994,Jan,12,44.0,5.0,39.0
Clinton,1994,Feb,13,44.0,11.0,33.0
Clinton,1994,Mar,14,34.0,7.0,27.0
Clinton,1994,Apr,15,37.0,6.0,31.0
Clinton,1994,May,16,27.0,6.0,21.0
Clinton,1994,Jun,17,35.0,7.0,28.0
Clinton,1994,Jul,18,19.0,2.0,17.0
Clinton,1994,Aug,19,30.0,6.0,24.0
Clinton,1994,Sep,20,31.0,3.0,28.0
Clinton,1994,Oct,21,22.0,2.0,20.0
Clinton,1994,Nov,22,24.0,2.0,22.0
Clinton,1994,Dec,23,37.0,2.0,35.0
Clinton,1995,Jan,24,20.0,7.0,13.0
Clinton,1995,Feb,25,24.0,4.0,20.0
Clinton,1995,Mar,26,25.0,6.0,19.0
Clinton,1995,Apr,27,30.0,1.0,29.0
Clinton,1995,May,28,31.0,2.0,29.0
Clinton,1995,Jun,29,23.0,3.0,20.0
Clinton,1995,Jul,30,21.0,0.0,21.0
Clinton,1995,Aug,31,38.0,7.0,31.0
Clinton,1995,Sep,32,35.0,5.0,30.0
Clinton,1995,Oct,33,19.0,1.0,18.0
Clinton,1995,Nov,34,14.0,0.0,14.0
Clinton,1995,Dec,35,25.0,4.0,21.0
Clinton,1996,Jan,36,12.0,1.0,11.0
Clinton,1996,Feb,37,19.0,0.0,19.0
Clinton,1996,Mar,38,22.0,2.0,20.0
Clinton,1996,Apr,39,11.0,3.0,8.0
Clinton,1996,May,40,34.0,2.0,32.0
Clinton,1996,Jun,41,15.0,1.0,14.0
Clinton,1996,Jul,42,32.0,7.0,25.0
Clinton,1996,Aug,43,19.0,8.0,11.0
Clinton,1996,Sep,44,18.0,1.0,17.0
Clinton,1996,Oct,45,30.0,7.0,23.0
Clinton,1996,Nov,46,21.0,1.0,20.0
Clinton,1996,Dec,47,31.0,4.0,27.0
Clinton,1997,Jan,48,25.0,3.0,22.0
Clinton,1997,Feb,49,16.0,3.0,13.0
Clinton,1997,Mar,50,16.0,1.0,15.0
Clinton,1997,Apr,51,24.0,7.0,17.0
Clinton,1997,May,52,20.0,4.0,16.0
Clinton,1997,Jun,53,15.0,2.0,13.0
Clinton,1997,Jul,54,14.0,3.0,11.0
Clinton,1997,Aug,55,26.0,4.0,22.0
Clinton,1997,Sep,56,27.0,3.0,24.0
Clinton,1997,Oct,57,21.0,2.0,19.0
Clinton,1997,Nov,58,12.0,0.0,12.0
Clinton,1997,Dec,59,13.0,4.0,9.0
Clinton,1998,Jan,60,20.0,4.0,16.0
Clinton,1998,Feb,61,20.0,1.0,19.0
Clinton,1998,Mar,62,14.0,1.0,13.0
Clinton,1998,Apr,63,15.0,4.0,11.0
Clinton,1998,May,64,15.0,2.0,13.0
Clinton,1998,Jun,65,26.0,5.0,21.0
Clinton,1998,Jul,66,15.0,1.0,14.0
Clinton,1998,Aug,67,20.0,4.0,16.0
Clinton,1998,Sep,68,36.0,6.0,30.0
Clinton,1998,Oct,69,24.0,5.0,19.0
Clinton,1998,Nov,70,21.0,2.0,19.0
Clinton,1998,Dec,71,19.0,5.0,14.0
Clinton,1999,Jan,72,16.0,2.0,14.0
Clinton,1999,Feb,73,16.0,0.0,16.0
Clinton,1999,Mar,74,21.0,6.0,15.0
Clinton,1999,Apr,75,22.0,4.0,18.0
Clinton,1999,May,76,21.0,1.0,20.0
Clinton,1999,Jun,77,25.0,4.0,21.0
Clinton,1999,Jul,78,27.0,4.0,23.0
Clinton,1999,Aug,79,21.0,3.0,18.0
Clinton,1999,Sep,80,21.0,3.0,18.0
Clinton,1999,Oct,81,33.0,3.0,30.0
Clinton,1999,Nov,82,18.0,1.0,17.0
Clinton,1999,Dec,83,30.0,5.0,25.0
Clinton,2000,Jan,84,18.0,1.0,17.0
Clinton,2000,Feb,85,17.0,5.0,12.0
Clinton,2000,Mar,86,24.0,1.0,23.0
Clinton,2000,Apr,87,19.0,4.0,15.0
Clinton,2000,May,88,20.0,3.0,17.0
Clinton,2000,Jun,89,25.0,4.0,21.0
Clinton,2000,Jul,90,32.0,4.0,28.0
Clinton,2000,Aug,91,29.0,6.0,23.0
Clinton,2000,Sep,92,16.0,4.0,12.0
Clinton,2000,Oct,93,30.0,3.0,27.0
Clinton,2000,Nov,94,28.0,10.0,18.0
Clinton,2000,Dec,95,38.0,6.0,32.0
Clinton,2001,Jan,96,51.0,19.0,32.0
Bush 43,2001,Jan,0,14.0,3.0,11.0
Bush 43,2001,Feb,1,11.0,1.0,10.0
Bush 43,2001,Mar,2,15.0,5.0,10.0
Bush 43,2001,Apr,3,12.0,3.0,9.0
Bush 43,2001,May,4,23.0,5.0,18.0
Bush 43,2001,Jun,5,29.0,2.0,27.0
Bush 43,2001,Jul,6,28.0,2.0,26.0
Bush 43,2001,Aug,7,21.0,4.0,17.0
Bush 43,2001,Sep,8,20.0,3.0,17.0
Bush 43,2001,Oct,9,20.0,3.0,17.0
Bush 43,2001,Nov,10,24.0,3.0,21.0
Bush 43,2001,Dec,11,30.0,3.0,27.0
Bush 43,2002,Jan,12,20.0,2.0,18.0
Bush 43,2002,Feb,13,26.0,2.0,24.0
Bush 43,2002,Mar,14,30.0,4.0,26.0
Bush 43,2002,Apr,15,28.0,3.0,25.0
Bush 43,2002,May,16,23.0,5.0,18.0
Bush 43,2002,Jun,17,29.0,4.0,25.0
Bush 43,2002,Jul,18,26.0,1.0,25.0
Bush 43,2002,Aug,19,31.0,5.0,26.0
Bush 43,2002,Sep,20,20.0,4.0,16.0
Bush 43,2002,Oct,21,32.0,4.0,28.0
Bush 43,2002,Nov,22,13.0,2.0,11.0
Bush 43,2002,Dec,23,29.0,3.0,26.0
Bush 43,2003,Jan,24,35.0,2.0,33.0
Bush 43,2003,Feb,25,26.0,3.0,23.0
Bush 43,2003,Mar,26,26.0,1.0,25.0
Bush 43,2003,Apr,27,33.0,3.0,30.0
Bush 43,2003,May,28,19.0,2.0,17.0
Bush 43,2003,Jun,29,34.0,4.0,30.0
Bush 43,2003,Jul,30,27.0,5.0,22.0
Bush 43,2003,Aug,31,23.0,5.0,18.0
Bush 43,2003,Sep,32,26.0,2.0,24.0
Bush 43,2003,Oct,33,39.0,8.0,31.0
Bush 43,2003,Nov,34,54.0,3.0,51.0
Bush 43,2003,Dec,35,27.0,5.0,22.0
Bush 43,2004,Jan,36,22.0,6.0,16.0
Bush 43,2004,Feb,37,16.0,4.0,12.0
Bush 43,2004,Mar,38,22.0,1.0,21.0
Bush 43,2004,Apr,39,27.0,3.0,24.0
Bush 43,2004,May,40,24.0,4.0,20.0
Bush 43,2004,Jun,41,22.0,3.0,19.0
Bush 43,2004,Jul,42,41.0,6.0,35.0
Bush 43,2004,Aug,43,18.0,3.0,15.0
Bush 43,2004,Sep,44,25.0,4.0,21.0
Bush 43,2004,Oct,45,17.0,2.0,15.0
Bush 43,2004,Nov,46,22.0,5.0,17.0
Bush 43,2004,Dec,47,26.0,7.0,19.0
Bush 43,2005,Jan,48,20.0,3.0,17.0
Bush 43,2005,Feb,49,11.0,1.0,10.0
Bush 43,2005,Mar,50,30.0,5.0,25.0
Bush 43,2005,Apr,51,26.0,5.0,21.0
Bush 43,2005,May,52,26.0,4.0,22.0
Bush 43,2005,Jun,53,19.0,2.0,17.0
Bush 43,2005,Jul,54,21.0,2.0,19.0
