year,consumer_safety_and_health,homeland_security,transportation,workplace,environment_and_energy,finance_and_banking,industry-specific_regulation,general_business
1960,"11,961","17,514","3,928","4,151","1,265","2,509","10,300","5,481"
1961,"12,535","18,001","6,043","4,258","1,832","2,763","10,535","5,686"
1962,"13,231","19,068","6,756","4,885","2,519","3,078","11,071","6,343"
1963,"14,239","19,275","7,254","5,804","2,585","3,386","11,586","6,677"
1964,"14,777","19,219","7,365","5,789","2,858","3,748","11,283","6,648"
1965,"13,884","18,296","7,205","6,163","3,377","3,999","14,619","6,682"
1966,"15,100","19,107","6,950","6,288","3,786","4,227","13,719","6,663"
1967,"15,279","18,461","7,080","6,451","4,455","4,613","14,694","6,872"
1968,"14,847","19,363","7,796","6,844","5,610","5,092","15,017","6,989"
1969,"14,531","19,309","7,804","7,213","5,351","5,509","15,356","6,896"
1970,"14,734","22,496","7,788","7,571","5,096","5,618","19,791","7,181"
1971,"15,367","29,403","8,676","7,117","6,983","5,463","18,888","6,782"
1972,"25,338","34,348","8,333","9,879","9,703","5,545","17,485","6,994"
1973,"28,951","35,018","8,724","10,222","10,634","5,697","10,920","7,243"
1974,"28,113","32,505","8,379","11,193","12,440","5,925","11,499","7,783"
1975,"27,704","30,871","8,271","12,334","13,804","6,401","14,464","8,333"
1976,"28,542","32,972","8,380","13,259","15,282","7,021","15,066","8,759"
1977,"34,062","36,690","8,303","14,614","16,075","8,727","10,920","8,706"
1978,"34,431","36,411","8,368","15,313","17,335","9,062","11,437","8,963"
1979,"38,038","37,834","8,403","17,495","18,425","8,966","11,752","9,307"
1980,"33,201","35,333","8,401","17,894","20,218","9,524","12,326","9,511"
1981,"31,769","37,894","7,622","16,845","21,398","9,182","10,944","9,221"
1982,"27,216","36,442","6,584","14,875","18,664","8,936","11,637","8,604"
1983,"26,407","32,655","6,161","14,731","20,043","8,443","10,425","8,683"
1984,"26,427","32,527","6,173","14,493","20,354","8,616","9,909","8,788"
1985,"26,549","32,149","6,099","14,229","21,792","8,864","9,171","8,953"
1986,"26,139","31,120","6,247","13,859","22,596","9,799","8,799","8,989"
1987,"26,201","33,944","6,599","13,475","23,128","9,806","8,581","8,722"
1988,"27,174","36,446","6,959","13,993","23,573","10,133","8,560","9,085"
1989,"28,198","41,715","7,551","13,810","24,294","18,084","8,464","9,337"
1990,"28,743","44,158","7,550","13,610","25,414","15,308","8,234","9,729"
1991,"30,228","46,103","7,612","13,263","26,325","15,611","8,503","10,298"
1992,"31,019","50,714","8,436","13,207","27,439","17,681","8,676","10,732"
1993,"31,573","53,839","8,542","12,996","28,963","18,394","8,506","11,162"
1994,"32,000","52,426","8,200","12,817","28,146","17,976","8,403","11,244"
1995,"31,478","55,560","7,699","12,592","28,818","17,981","8,357","11,418"
1996,"31,031","57,457","8,675","12,035","27,937","14,903","7,354","11,457"
1997,"31,531","53,848","8,458","12,035","27,484","14,127","6,862","11,420"
1998,"31,411","60,154","8,906","11,699","27,807","13,228","6,964","11,749"
1999,"31,455","59,257","9,140","11,758","28,368","13,391","6,794","12,286"
2000,"31,843","60,414","9,041","12,204","29,730","13,317","6,723","12,606"
2001,"32,849","56,697","8,938","12,283","29,937","12,780","6,670","12,904"
2002,"31,219","69,334","9,642","12,399","30,168","12,432","6,746","13,346"
2003,"35,174","123,504","9,000","12,109","30,703","11,868","6,787","13,422"
2004,"34,213","115,652","8,693","11,731","32,083","11,801","6,791","14,060"
2005,"34,526","118,795","8,451","11,338","30,479","10,650","6,667","14,525"
2006,"34,651","117,796","8,543","11,067","29,589","10,736","6,546","14,786"
2007,"34,480","121,292","8,410","10,948","29,471","11,050","6,369","15,533"
2008,"35,437","130,292","8,847","11,040","29,752","11,371","6,377","16,221"
2009,"37,041","138,545","9,300","11,144","29,942","12,288","6,692","17,003"
2010,"38,616","142,104","9,543","12,105","31,196","13,719","6,595","17,007"
2011,"39,569","144,783","9,604","11,940","31,214","15,143","6,648","17,664"
2012,"38,957","147,780","9,471","12,183","29,377","15,816","6,498","18,013"
2013,"38,921","144,734","9,376","11,959","27,741","16,001","6,485","18,766"
2014,"39,081","147,404","8,842","11,580","27,307","16,338","6,412","19,600"
2015,"40,460","139,140","8,960","11,602","25,805","16,074","6,412","20,367"
2016,"42,210","142,962","9,093","11,026","26,402","16,187","6,414","20,723"
2017,"43,477","142,939","9,260","10,669","25,992","15,716","6,438","20,853"
2018,"42,289","144,512","9,039","9,962","25,399","15,624","6,262","20,449"
2019,"40,682","150,243","8,992","9,693","24,053","15,520","5,990","20,235"
2020,"40,394","142,657","8,997","9,385","24,542","14,555","5,941","19,439"
2021,"42,158","148,102","9,182","9,284","23,487","14,966","5,863","20,051"
2022,"42,349","147,150","9,106","9,355","23,527","15,520","6,023","19,839"
2023,"42,725","148,231","9,362","9,873","24,175","12,577","5,855","20,118"
2024,"43,988","150,353","9,698","9,633","24,784","12,918","6,096","20,374"
,,,,,,,,
"*The Homeland Security sector is a component of the Social Regulation category. TSA, which is reported as a separate category in the main personnel chart, is included as part of the Homeland Security sector here.",,,,,,,,
