year,economic_regulation,social_regulation,tsa,social_reg_adjusted,total
1960,"1,348.00","2,666.00",,"2,666.00","4,014.00"
1961,"1,539.00","3,100.00",,"3,100.00","4,639.00"
1962,"1,582.00","3,554.00",,"3,554.00","5,136.00"
1963,"1,756.00","3,893.00",,"3,893.00","5,649.00"
1964,"1,867.00","4,094.00",,"4,094.00","5,961.00"
1965,"2,163.00","4,134.00",,"4,134.00","6,297.00"
1966,"2,059.00","4,303.00",,"4,303.00","6,361.00"
1967,"2,243.00","4,576.00",,"4,576.00","6,819.00"
1968,"2,358.00","5,154.00",,"5,154.00","7,513.00"
1969,"2,383.00","5,659.00",,"5,659.00","8,043.00"
1970,"2,728.00","6,148.00",,"6,148.00","8,876.00"
1971,"2,939.00","7,481.00",,"7,481.00","10,419.00"
1972,"2,720.00","8,978.00",,"8,978.00","11,699.00"
1973,"2,286.00","11,892.00",,"11,892.00","14,178.00"
1974,"2,635.00","11,299.00",,"11,299.00","13,933.00"
1975,"3,018.00","12,369.00",,"12,369.00","15,387.00"
1976,"3,186.00","13,663.00",,"13,663.00","16,848.00"
1977,"3,266.00","14,301.00",,"14,301.00","17,567.00"
1978,"3,119.00","14,828.00",,"14,828.00","17,947.00"
1979,"3,111.00","15,383.00",,"15,383.00","18,493.00"
1980,"3,360.00","16,318.00",,"16,318.00","19,678.00"
1981,"2,960.00","15,612.00",,"15,612.00","18,572.00"
1982,"3,127.00","13,979.00",,"13,979.00","17,106.00"
1983,"3,028.00","13,927.00",,"13,927.00","16,954.00"
1984,"3,131.00","14,026.00",,"14,026.00","17,157.00"
1985,"3,374.00","14,260.00",,"14,260.00","17,634.00"
1986,"3,886.00","14,547.00",,"14,547.00","18,433.00"
1987,"3,352.00","15,523.00",,"15,523.00","18,874.00"
1988,"3,842.00","16,650.00",,"16,650.00","20,492.00"
1989,"3,983.00","17,682.00",,"17,682.00","21,665.00"
1990,"4,354.00","18,917.00",,"18,917.00","23,271.00"
1991,"4,141.00","20,481.00",,"20,481.00","24,622.00"
1992,"4,466.00","22,039.00",,"22,039.00","26,505.00"
1993,"5,071.00","22,027.00",,"22,027.00","27,099.00"
1994,"4,743.00","22,430.00",,"22,430.00","27,173.00"
1995,"5,468.00","22,768.00",,"22,768.00","28,235.00"
1996,"5,030.00","22,516.00",,"22,516.00","27,546.00"
1997,"5,403.00","23,530.00",,"23,530.00","28,933.00"
1998,"5,302.00","25,699.00",,"25,699.00","31,001.00"
1999,"5,578.00","26,658.00",,"26,658.00","32,236.00"
2000,"5,855.00","27,918.00",,"27,918.00","33,774.00"
2001,"5,936.00","29,096.00",,"29,096.00","35,032.00"
2002,"6,394.00","34,504.00","1,513.00","32,991.00","40,899.00"
2003,"6,265.00","43,953.00","11,987.00","31,966.00","50,218.00"
2004,"6,810.00","38,744.00","5,382.00","33,362.00","45,555.00"
2005,"6,885.00","39,037.00","5,546.00","33,491.00","45,922.00"
2006,"7,135.00","40,245.00","4,942.00","35,303.00","47,380.00"
2007,"7,370.00","40,699.00","5,083.00","35,616.00","48,070.00"
2008,"7,604.00","42,536.00","5,297.00","37,239.00","50,139.00"
2009,"8,301.00","46,257.00","5,572.00","40,685.00","54,558.00"
2010,"8,503.00","47,664.00","5,258.00","42,406.00","56,167.00"
2011,"9,107.00","48,025.00","5,271.00","42,754.00","57,133.00"
2012,"9,473.00","48,233.00","5,279.00","42,954.00","57,706.00"
2013,"10,158.00","46,614.00","5,279.00","41,335.00","56,772.00"
2014,"10,213.00","46,929.00","5,056.00","41,873.00","57,141.00"
2015,"10,833.00","47,947.00","5,878.00","42,069.00","58,780.00"
2016,"11,615.00","49,375.00","5,658.00","43,717.00","60,990.00"
2017,"11,496.00","50,893.00","6,308.00","44,585.00","62,389.00"
2018,"11,454.00","52,414.00","6,759.00","45,655.00","63,869.00"
2019,"11,265.00","54,157.00","7,015.00","47,142.00","65,423.00"
2020,"11,341.00","58,069.00","6,865.00","51,204.00","69,410.00"
2021,"11,608.00","58,281.00","6,752.00","51,529.00","69,889.00"
2022,"12,021.00","61,011.00","7,078.00","53,933.00","73,033.00"
2023,"12,066.00","64,338.00","7,440.00","56,898.00","76,404.00"
2024,"13,156.00","69,937.00","8,666.00","61,271.00","83,094.00"
